"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003002","GO:0003002","regionalization","41/241","455/28891",4.30642066148184e-30,1.28460528332003e-26,1.06073940503868e-26,"66743/15251/22773/16372/14472/15242/20997/14573/232174/18503/24113/18504/15229/22413/57246/21385/18424/20471/16814/12022/29871/16869/67122/20473/14725/16371/73191/15404/21407/15375/15434/15401/18505/15400/22431/216285/15405/15395/14165/20671/15402",41
"GO:0007389","GO:0007389","pattern specification process","42/241","498/28891",1.17953830285023e-29,1.75928137870111e-26,1.45269454140502e-26,"66743/15251/22773/16372/14472/15242/20997/14573/232174/18503/24113/18504/15229/22413/57246/21385/18424/20471/16814/12022/29871/16869/67122/20473/14725/27412/16371/73191/15404/21407/15375/15434/15401/18505/15400/22431/216285/15405/15395/14165/20671/15402",42
"GO:0009952","GO:0009952","anterior/posterior pattern specification","25/241","240/28891",3.56757182533348e-20,3.54735558498993e-17,2.92916423553697e-17,"22773/14472/15242/20997/18503/22413/18424/12022/29871/16869/67122/20473/73191/15404/21407/15434/15401/18505/15400/22431/216285/15405/15395/20671/15402",25
"GO:0048562","GO:0048562","embryonic organ morphogenesis","28/241","335/28891",7.05066880274666e-20,5.25803625964832e-17,4.34172763116505e-17,"15251/22773/14472/20997/24113/18504/57246/21385/18424/20471/16814/21677/26927/16869/20473/15404/15434/15401/15400/110805/216285/18595/15405/21384/14165/20671/20429/15402",28
"GO:0060562","GO:0060562","epithelial tube morphogenesis","28/241","395/28891",5.52410926649261e-18,3.29568358838949e-15,2.72135067023005e-15,"15251/22773/16372/14472/15242/20997/14573/18504/15229/22413/57246/21385/20471/16814/21677/16869/67122/14725/16371/15375/18505/99377/22431/216285/18595/14165/20671/15402",28
"GO:0048863","GO:0048863","stem cell differentiation","22/241","284/28891",3.72295447896186e-15,1.8509288684572e-12,1.52837078610013e-12,"15251/22773/14472/15242/20997/14573/21349/18504/54601/21385/20359/20471/21677/20672/14465/15404/21407/15375/18505/216285/18595/20671",22
"GO:0060485","GO:0060485","mesenchyme development","21/241","316/28891",3.25248475852638e-13,1.38602314781203e-10,1.14448335863936e-10,"15251/22773/16401/14472/14573/18503/18504/15229/22413/57246/21385/20359/20471/21677/21407/15375/18505/22431/216285/14165/15402",21
"GO:0035270","GO:0035270","endocrine system development","15/241","145/28891",1.54848619366485e-12,5.77391789462781e-10,4.76770749102072e-10,"15242/18740/26423/18503/18420/20471/20473/14465/15434/15400/110805/22431/18595/14165/15402",15
"GO:0045165","GO:0045165","cell fate commitment","20/241","307/28891",1.75355481894012e-12,5.81206002766485e-10,4.79920266236242e-10,"104382/18740/20997/232174/21349/18504/22413/57246/21385/18424/20471/16814/20672/14465/15375/18505/22431/21384/14165/20671",20
"GO:0048732","GO:0048732","gland development","24/241","489/28891",4.28344635644705e-12,1.27775204812815e-09,1.05508047095643e-09,"244813/14235/15251/22773/15242/18740/26423/18503/18420/21385/20471/20473/14465/15375/15434/12442/18505/15400/110805/22431/18595/15405/14165/15402",24
