"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045165","GO:0045165","cell fate commitment","95/1982","307/28891",3.24644619742297e-37,1.93260942132589e-33,1.27534075881921e-33,"20671/14048/22420/22409/260298/16147/18505/12043/14633/20668/94222/21907/12142/23805/17192/268396/15110/22416/216848/57765/22415/238057/66042/20471/12677/53314/14836/58208/16450/18740/17129/19206/14165/54713/22418/18424/50523/14463/22422/22408/21380/12667/15205/12394/23872/12393/20472/14465/225207/240590/18504/16814/16874/21375/13392/22431/18508/54485/18088/21420/20319/21384/22414/242620/21349/22417/18509/69743/16542/104382/14581/116810/21386/21388/72154/17341/22413/11921/232077/232174/14461/22421/22419/13389/78405/11819/23966/22411/211323/18032/57246/18854/15379/13813/11878",95
"GO:0007389","GO:0007389","pattern specification process","120/1982","498/28891",9.27235951727181e-35,2.75991781031595e-31,1.82128661676097e-31,"20671/14048/22420/16147/18505/14633/23893/320202/23805/11764/18423/15110/22416/18121/15407/21393/22415/207165/12006/66042/20471/15251/14836/13411/320145/21418/12022/19206/13865/14165/54713/22418/18424/14463/18095/14573/11838/22422/106042/22408/19411/15427/15423/21380/12667/15205/224143/20465/23872/26407/57354/18515/20473/20472/240590/15242/18504/16814/67122/16917/16870/21375/14725/13392/15432/15434/11695/22431/18508/54485/107586/18088/380614/20319/22414/53883/18741/16842/12167/242620/66743/18509/15206/13542/66993/57434/17701/12020/27428/116810/21386/21388/22255/12591/22413/15400/15404/15405/24113/232174/13796/22421/16974/17537/13389/78405/27412/11819/22411/24075/233651/14174/21892/15227/57246/17130/13813/14734/22773/13641",120
"GO:0003002","GO:0003002","regionalization","106/1982","455/28891",1.73983508922866e-29,3.4524127620594e-26,2.278268264211e-26,"20671/16147/18505/14633/23893/320202/11764/18423/15110/22416/18121/15407/21393/22415/207165/12006/66042/20471/15251/14836/13411/320145/12022/19206/13865/14165/54713/22418/18424/14463/18095/14573/11838/22422/106042/22408/19411/15427/15423/21380/12667/15205/224143/23872/26407/18515/20473/20472/240590/15242/18504/16814/67122/16917/16870/21375/14725/13392/15434/11695/22431/18508/54485/107586/18088/380614/20319/22414/53883/18741/16842/12167/242620/66743/18509/15206/13542/66993/57434/17701/12020/116810/21386/12591/22413/15400/15404/15405/24113/232174/13796/22421/16974/13389/78405/11819/22411/24075/14174/21892/15227/57246/17130/13813/14734/22773",106
"GO:0048562","GO:0048562","embryonic organ morphogenesis","88/1982","335/28891",1.1068430577974e-28,1.64725918076697e-25,1.0870363925526e-25,"20671/14048/16147/14633/15284/14051/22295/18423/15110/22416/18121/15407/21393/18109/20666/20471/20474/15251/14836/20191/193385/14238/21418/14165/22418/18424/14623/50769/14463/68588/22408/19411/15427/15423/21380/15205/328789/12393/71461/20473/20472/18998/18504/16814/241226/111970/13392/15434/20378/11695/18508/107586/20429/21384/18741/17389/60613/93760/13844/15530/13836/13542/17701/12020/18595/14581/21386/13396/13395/15400/15404/15405/11921/24113/14461/11941/16974/22411/504186/15372/14174/54352/15227/57246/114873/102502/26927/22773",88
"GO:0060562","GO:0060562","epithelial tube morphogenesis","96/1982","395/28891",2.54920430038378e-28,3.03508264003692e-25,2.00286956821732e-25,"20671/14048/22420/16147/18505/12043/14633/269152/13982/11783/15364/15110/22416/54710/18121/21393/69847/238057/18109/11622/66042/20471/20474/15251/20191/56044/21418/19206/14165/71228/22418/14463/18095/14573/68588/58234/106042/22408/19411/21380/15205/12374/71461/20472/15242/18504/16814/67122/11350/16870/14725/22431/20732/54485/107586/99377/21420/64138/20319/22414/18741/16842/93760/269593/22417/13836/17769/18707/13542/14362/20349/18595/16542/27428/21386/17295/22413/20315/19713/16974/19227/20733/244058/18479/233651/14174/94109/50768/58198/15227/18667/57246/18854/13138/14734/22773",96
"GO:0007411","GO:0007411","axon guidance","72/1982","252/28891",4.11736243128279e-26,3.5015226504895e-23,2.31067617948081e-23,"14633/16872/110648/11735/13637/16572/16971/23964/22416/18121/18053/13866/22415/238057/58208/20354/107448/19206/54713/22418/18424/14573/223435/17181/22422/11820/20359/16774/14587/353237/18998/225743/20562/26456/226251/22326/16870/21375/14725/18508/12064/228994/18211/13638/12167/11876/230735/12399/13844/13542/20349/65254/13395/13848/14028/11921/20355/18844/12661/20315/20266/11785/210801/18997/244682/19649/58235/114873/13138/107934/11878/13641",72
"GO:0097485","GO:0097485","neuron projection guidance","72/1982","252/28891",4.11736243128279e-26,3.5015226504895e-23,2.31067617948081e-23,"14633/16872/110648/11735/13637/16572/16971/23964/22416/18121/18053/13866/22415/238057/58208/20354/107448/19206/54713/22418/18424/14573/223435/17181/22422/11820/20359/16774/14587/353237/18998/225743/20562/26456/226251/22326/16870/21375/14725/18508/12064/228994/18211/13638/12167/11876/230735/12399/13844/13542/20349/65254/13395/13848/14028/11921/20355/18844/12661/20315/20266/11785/210801/18997/244682/19649/58235/114873/13138/107934/11878/13641",72
"GO:0090596","GO:0090596","sensory organ morphogenesis","79/1982","322/28891",8.38200616235433e-24,6.23726033556191e-21,4.11600618393505e-21,"14048/16147/12043/14633/14051/12142/22295/18423/22416/18121/21393/20666/20471/20474/15251/12677/14836/193385/14238/21418/14165/22418/18424/18185/14623/50769/68588/22408/19411/21380/328789/71461/20473/20472/18998/20510/18504/18742/241226/20378/18508/12064/67231/380614/18741/30923/60613/329941/93760/13844/13836/69743/13542/17701/12020/16542/14581/116810/21386/13396/13395/11921/24113/232174/14461/11941/16974/504186/15372/14174/14107/23965/54352/64379/58235/102502/26927/14685/22773",79
"GO:0001763","GO:0001763","morphogenesis of a branching structure","67/1982","249/28891",8.85972571922789e-23,5.86021635628485e-20,3.8671925595507e-20,"14048/22420/16147/12043/14633/13982/12142/15364/14025/54710/18121/15408/217325/238057/18109/11622/20471/20474/19206/14165/71228/22418/18095/14573/20665/22408/21380/12374/20472/15242/18504/67122/11350/13392/22431/20732/54485/21420/64138/20429/20319/22414/18741/16842/22417/13836/20349/18595/16542/21386/18590/17295/22413/18844/20315/16974/20733/18479/233651/94109/58198/15227/18667/57246/18854/13138/14734",67
"GO:0030900","GO:0030900","forebrain development","91/1982","425/28891",1.02381439589393e-22,6.09476709875656e-20,4.02197402681699e-20,"14633/381293/110648/21907/11783/15364/18423/22416/20185/18121/238057/15251/14836/58208/21418/18740/13865/18420/14165/54713/22418/18424/75409/76510/22422/58234/22408/12667/15205/11820/74762/20359/19280/65960/11682/20473/19091/15242/20562/14810/16874/16870/18227/21375/14725/13392/269295/18508/21420/76089/18072/22414/18741/16842/19218/21350/16975/242620/15572/93760/13844/22417/22062/20349/17701/231580/21386/16873/20602/22255/13395/11921/24113/13796/14461/18844/22421/20315/16974/77582/11803/11819/18479/211323/50768/18032/58198/13813/22773/11878/211612",91
