"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048562","GO:0048562","embryonic organ morphogenesis","12/100","347/28928",0.0345821325648415,10.0039193083573,9.93807026024035,2.99694330017406e-09,5.3135804712086e-06,4.3786918954122e-06,"109663/110253/106947/11695/384452/15251/21414/15110/20473/21385/21410/18091",12
"GO:0003002","GO:0003002","regionalization","12/100","454/28928",0.026431718061674,7.64616740088106,8.40658102311876,5.83202713482306e-08,5.17009205502065e-05,4.26044929638653e-05,"109663/11695/384452/15251/15110/20473/21385/21410/77485/22421/15206/18091",12
"GO:0001947","GO:0001947","heart looping","5/100","66/28928",0.0757575757575758,21.9151515151515,10.0187655272104,3.37401789590648e-06,0.00197274928033976,0.00162565737590856,"384452/15251/15110/21385/18091",5
"GO:0061371","GO:0061371","determination of heart left/right asymmetry","5/100","72/28928",0.0694444444444444,20.0888888888889,9.5515372717999,5.19643542883106e-06,0.00197274928033976,0.00162565737590856,"384452/15251/15110/21385/18091",5
"GO:0003143","GO:0003143","embryonic heart tube morphogenesis","5/100","73/28928",0.0684931506849315,19.813698630137,9.4791525993457,5.56330874320293e-06,0.00197274928033976,0.00162565737590856,"384452/15251/15110/21385/18091",5
"GO:0003207","GO:0003207","cardiac chamber formation","3/100","13/28928",0.230769230769231,66.7569230769231,13.9667706714032,1.11785955681028e-05,0.00214666971361388,0.00176897768426756,"15110/21385/18091",3
"GO:0030326","GO:0030326","embryonic limb morphogenesis","6/100","145/28928",0.0413793103448276,11.9702068965517,7.79965210267062,1.15678315238234e-05,0.00214666971361388,0.00176897768426756,"109663/11695/99377/18740/21385/22421",6
"GO:0035113","GO:0035113","embryonic appendage morphogenesis","6/100","145/28928",0.0413793103448276,11.9702068965517,7.79965210267062,1.15678315238234e-05,0.00214666971361388,0.00176897768426756,"109663/11695/99377/18740/21385/22421",6
"GO:0048736","GO:0048736","appendage development","7/100","221/28928",0.0316742081447964,9.1627149321267,7.17432923900195,1.21075561963558e-05,0.00214666971361388,0.00176897768426756,"109663/106947/11695/99377/18740/21385/22421",7
"GO:0060173","GO:0060173","limb development","7/100","221/28928",0.0316742081447964,9.1627149321267,7.17432923900195,1.21075561963558e-05,0.00214666971361388,0.00176897768426756,"109663/106947/11695/99377/18740/21385/22421",7
"GO:0035050","GO:0035050","embryonic heart tube development","5/100","97/28928",0.0515463917525773,14.9113402061856,8.08294133465634,2.23561455228911e-05,0.00360340418291691,0.00296940956801655,"384452/15251/15110/21385/18091",5
"GO:0002064","GO:0002064","epithelial cell development","7/100","262/28928",0.0267175572519084,7.72885496183206,6.44395806955481,3.60603445528709e-05,0.00528190373662034,0.00435258846820971,"244653/14107/15251/15466/20473/21873/13982",7
"GO:0035107","GO:0035107","appendage morphogenesis","6/100","182/28928",0.032967032967033,9.5367032967033,6.80427114729722,4.17070797025859e-05,0.00528190373662034,0.00435258846820971,"109663/11695/99377/18740/21385/22421",6
"GO:0035108","GO:0035108","limb morphogenesis","6/100","182/28928",0.032967032967033,9.5367032967033,6.80427114729722,4.17070797025859e-05,0.00528190373662034,0.00435258846820971,"109663/11695/99377/18740/21385/22421",6
"GO:1903522","GO:1903522","regulation of blood circulation","7/100","279/28928",0.025089605734767,7.2579211469534,6.1861706411424,5.36538467154517e-05,0.00634188468176639,0.00522607292919627,"15251/11820/15466/70357/21385/80297/18091",7
"GO:0048863","GO:0048863","stem cell differentiation","7/100","297/28928",0.0235690235690236,6.81804713804714,5.93583257581348,7.93896030021859e-05,0.00855660055637063,0.00705112451227028,"15251/22409/21385/21410/22421/18091/13982",7
"GO:0060562","GO:0060562","epithelial tube morphogenesis","8/100","404/28928",0.0198019801980198,5.72831683168317,5.6368500178854,8.20429833380151e-05,0.00855660055637063,0.00705112451227028,"384452/15251/99377/15110/21385/21410/18091/13982",8
"GO:0045165","GO:0045165","cell fate commitment","7/100","314/28928",0.0222929936305732,6.44891719745223,5.71781615117044,0.00011219508408307,0.0110276384268626,0.0090873999682283,"22409/18740/15110/21385/21410/22421/18091",7
"GO:0042733","GO:0042733","embryonic digit morphogenesis","4/100","73/28928",0.0547945205479452,15.8509589041096,7.48255345565943,0.000121843982966855,0.0110276384268626,0.0090873999682283,"109663/11695/21385/22421",4
"GO:0007368","GO:0007368","determination of left/right symmetry","5/100","139/28928",0.0359712230215827,10.4057553956835,6.54684760575706,0.000124395244521857,0.0110276384268626,0.0090873999682283,"384452/15251/15110/21385/18091",5
"GO:1902894","GO:1902894","negative regulation of miRNA transcription","3/100","29/28928",0.103448275862069,29.9255172413793,9.17874207461333,0.000137193722692799,0.0115830700159206,0.00954510712268696,"15251/11820/13982",3
"GO:0060972","GO:0060972","left/right pattern formation","5/100","146/28928",0.0342465753424658,9.90684931506849,6.3545454402234,0.000156585633439403,0.0118334765169474,0.00975145629205511,"384452/15251/15110/21385/18091",5
"GO:0009799","GO:0009799","specification of symmetry","5/100","148/28928",0.0337837837837838,9.77297297297297,6.30197528196346,0.000166856690876303,0.0118334765169474,0.00975145629205511,"384452/15251/15110/21385/18091",5
"GO:0009855","GO:0009855","determination of bilateral symmetry","5/100","148/28928",0.0337837837837838,9.77297297297297,6.30197528196346,0.000166856690876303,0.0118334765169474,0.00975145629205511,"384452/15251/15110/21385/18091",5
"GO:0048565","GO:0048565","digestive tract development","5/100","148/28928",0.0337837837837838,9.77297297297297,6.30197528196346,0.000166856690876303,0.0118334765169474,0.00975145629205511,"11695/15251/21414/15466/21410",5
"GO:2000629","GO:2000629","negative regulation of miRNA metabolic process","3/100","32/28928",0.09375,27.12,8.70710413486515,0.000184832749479896,0.0125138398658807,0.0103121143075029,"15251/11820/13982",3
"GO:0009952","GO:0009952","anterior/posterior pattern specification","6/100","240/28928",0.025,7.232,5.70988511953075,0.000190566089328133,0.0125138398658807,0.0103121143075029,"109663/11695/20473/21410/77485/15206",6
"GO:0048469","GO:0048469","cell maturation","6/100","250/28928",0.024,6.94272,5.558086271795,0.000237410263585491,0.0147301114993545,0.0121384479241868,"216781/15251/11820/20473/77485/80297",6
"GO:0035116","GO:0035116","embryonic hindlimb morphogenesis","3/100","35/28928",0.0857142857142857,24.7954285714286,8.29613242245277,0.000242069383676917,0.0147301114993545,0.0121384479241868,"11695/18740/22421",3
"GO:0055123","GO:0055123","digestive system development","5/100","163/28928",0.0306748466257669,8.87361963190184,5.93718367553018,0.000261224147933273,0.0147301114993545,0.0121384479241868,"11695/15251/21414/15466/21410",5
"GO:0040014","GO:0040014","regulation of multicellular organism growth","4/100","89/28928",0.0449438202247191,13.0013483146067,6.67850701288166,0.000262016235251611,0.0147301114993545,0.0121384479241868,"11820/107585/56808/80297",4
"GO:0030900","GO:0030900","forebrain development","8/100","480/28928",0.0166666666666667,4.82133333333333,4.97226323946728,0.000265856496322247,0.0147301114993545,0.0121384479241868,"22255/76510/11925/15251/11820/18740/20473/22421",8
"GO:0048593","GO:0048593","camera-type eye morphogenesis","5/100","166/28928",0.0301204819277108,8.71325301204819,5.86984348928634,0.000284161582981145,0.0152672268674415,0.012581061472977,"14107/15251/107585/20473/21385",5
"GO:1905606","GO:1905606","regulation of presynapse assembly","3/100","38/28928",0.0789473684210526,22.8378947368421,7.93365364414998,0.00030967145208888,0.0161484554280466,0.0133072438235098,"60367/11820/22421",3
"GO:0001709","GO:0001709","cell fate determination","3/100","41/28928",0.0731707317073171,21.1668292682927,7.61066788083718,0.000388380676070866,0.0196742553906756,0.0162127031093643,"15110/21385/22421",3
"GO:0099174","GO:0099174","regulation of presynapse organization","3/100","43/28928",0.0697674418604651,20.1823255813953,7.41384907789726,0.00044737882672257,0.0220334072160866,0.0181567781137698,"60367/11820/22421",3
"GO:0048638","GO:0048638","regulation of developmental growth","7/100","397/28928",0.017632241813602,5.10065491183879,4.84545339363005,0.000465866131232062,0.0223238013695796,0.0183960793783813,"11820/107585/56808/21385/21410/80297/18091",7
"GO:1902742","GO:1902742","apoptotic process involved in development","3/100","47/28928",0.0638297872340425,18.4646808510638,7.05745163459619,0.00058196017213625,0.0271530364525677,0.0223756431835212,"20473/21410/18091",3
"GO:0035137","GO:0035137","hindlimb morphogenesis","3/100","49/28928",0.0612244897959184,17.7110204081633,6.89531919806897,0.000657940785849262,0.0294618662040525,0.0242782499428414,"11695/18740/22421",3
"GO:0048592","GO:0048592","eye morphogenesis","5/100","200/28928",0.025,7.232,5.20875808456977,0.000664678312556177,0.0294618662040525,0.0242782499428414,"14107/15251/107585/20473/21385",5
"GO:0003205","GO:0003205","cardiac chamber development","5/100","204/28928",0.0245098039215686,7.09019607843137,5.14124548450283,0.000726664509127007,0.0314238091385898,0.0258950022764643,"15251/99377/15110/21385/18091",5
"GO:2001054","GO:2001054","negative regulation of mesenchymal cell apoptotic process","2/100","12/28928",0.166666666666667,48.2133333333333,9.63453190954307,0.000763393552503114,0.03222611353781,0.0265561466384542,"15251/21410",2
"GO:0048806","GO:0048806","genitalia development","3/100","52/28928",0.0576923076923077,16.6892307692308,6.66928455038256,0.00078331458905321,0.0322980643346823,0.0266154381788459,"21414/21410/13982",3
"GO:0099054","GO:0099054","presynapse assembly","3/100","54/28928",0.0555555555555556,16.0711111111111,6.52879626822139,0.000874769908567496,0.0352492510884129,0.0290473835667867,"60367/11820/22421",3
"GO:0042693","GO:0042693","muscle cell fate commitment","2/100","13/28928",0.153846153846154,44.5046153846154,9.24038044653831,0.00090015990830948,0.0354663003873935,0.0292262445083873,"21385/18091",2
"GO:0010959","GO:0010959","regulation of metal ion transport","7/100","447/28928",0.0156599552572707,4.53011185682327,4.43005433216021,0.000934988473242935,0.0360377078926027,0.0296971167245124,"18386/19674/70357/241794/80297/18091/59091",7
"GO:0048546","GO:0048546","digestive tract morphogenesis","3/100","56/28928",0.0535714285714286,15.4971428571429,6.39561685837577,0.000972734121283274,0.0366948424901116,0.0302386329303737,"15251/21414/21410",3
"GO:0071695","GO:0071695","anatomical structure maturation","6/100","332/28928",0.0180722891566265,5.22795180722892,4.56342447233021,0.00105393493874128,0.0389297217997562,0.0320803003283531,"216781/15251/11820/20473/77485/80297",6
"GO:0003279","GO:0003279","cardiac septum development","4/100","130/28928",0.0307692307692308,8.90092307692308,5.3175647532174,0.0010941378300453,0.0395899259728636,0.0326243460387299,"99377/15110/21385/18091",4
"GO:0016055","GO:0016055","Wnt signaling pathway","7/100","467/28928",0.0149892933618844,4.33610278372591,4.28072398761074,0.00120367545228231,0.0412060810102226,0.0339561495189177,"11820/22409/21414/20473/21410/22421/18091",7
"GO:0042541","GO:0042541","hemoglobin biosynthetic process","2/100","15/28928",0.133333333333333,38.5706666666667,8.57220195034568,0.00120630227989842,0.0412060810102226,0.0339561495189177,"14151/15251",2
"GO:0090596","GO:0090596","sensory organ morphogenesis","6/100","341/28928",0.0175953079178886,5.0899706744868,4.47463416070651,0.00120852578258972,0.0412060810102226,0.0339561495189177,"110253/14107/15251/107585/20473/21385",6
"GO:0051216","GO:0051216","cartilage development","5/100","234/28928",0.0213675213675214,6.18119658119658,4.68691301108138,0.00133886568329574,0.0447888463487425,0.0369085515077357,"22255/15251/18740/15110/22421",5
"GO:2001053","GO:2001053","regulation of mesenchymal cell apoptotic process","2/100","16/28928",0.125,36.16,8.28541433177154,0.00137552779491966,0.0451631625998622,0.0372170093440252,"15251/21410",2
"GO:0098815","GO:0098815","modulation of excitatory postsynaptic potential","3/100","64/28928",0.046875,13.56,5.9244195931789,0.00143312331552193,0.0461986843349162,0.0380703380276449,"110891/11820/22421",3
