gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Prepl,6734.833093,-0.182629176,0.067887333,-2.690180469,0.007141339,0.049914303
Slk,2299.724144,-0.235697399,0.087604157,-2.690481887,0.007134891,0.049914303
Tomm34,630.5074225,-0.309322413,0.114976752,-2.690303972,0.007138696,0.049914303
Selenon,323.3253624,-0.378337897,0.140571868,-2.691419711,0.007114862,0.049797523
Zfp106,2565.323158,-0.20973533,0.077900259,-2.692357296,0.007094889,0.049680467
Xpo5,1131.864108,-0.253042182,0.093974841,-2.692658807,0.007088477,0.049658303
Cyfip1,1337.408272,-0.24452206,0.090799375,-2.692992777,0.00708138,0.049631324
LTO1,516.6971509,0.327455075,0.121581038,2.693307118,0.007074707,0.049607286
Sept5,1565.77721,-0.249055149,0.092465374,-2.693496364,0.007070692,0.049601875
Denr,2123.952699,0.249582031,0.092612949,2.694893463,0.007041114,0.049422969
Arel1,2286.11387,-0.204722846,0.075944908,-2.695675751,0.007024601,0.04934645
Wnk2,1664.560073,-0.247678321,0.091850598,-2.696534652,0.007006511,0.049241989
Dusp8,3031.096521,-0.231505074,0.085816308,-2.697681576,0.006982419,0.049095237
Cox6a2,127.0734446,0.633700658,0.234898173,2.697767511,0.006980617,0.049095237
Tubb2a,22001.21848,0.224828487,0.083331516,2.698000666,0.00697573,0.049093346
Ankrd63,202.4696893,-0.536667608,0.198907082,-2.698081958,0.006974027,0.049093346
Ptpn4,1810.927187,-0.234571126,0.086925438,-2.698532589,0.006964592,0.049060112
Sarnp,895.6056982,0.266495949,0.098692675,2.700260669,0.006928517,0.048848387
Vwc2l,135.3151693,-0.645037077,0.238891554,-2.700125081,0.006931341,0.048848387
Parp1,2085.12971,-0.209411188,0.077539897,-2.700689541,0.00691959,0.048810556
Dagla,1517.927649,-0.269424132,0.099724735,-2.701678094,0.006899052,0.048688142
Nisch,8393.260928,-0.19133716,0.070806449,-2.702256123,0.006887069,0.048626012
Slc43a2,1565.392698,-0.224946039,0.083209017,-2.703385368,0.006863712,0.048483485
Ntmt1,609.7187188,0.356025691,0.13168707,2.703573638,0.006859825,0.048478419
Dok4,605.5690213,0.319033091,0.118002209,2.703619644,0.006858875,0.048478419
Arl16,547.8184013,0.321114405,0.118761141,2.703867636,0.006853758,0.048478419
Fundc2,1031.578529,-0.272232203,0.100674673,-2.704078338,0.006849414,0.048472044
Tmem91,250.923519,0.443517028,0.163992739,2.704491861,0.006840895,0.048434167
Atg2a,746.404858,-0.301911592,0.111597984,-2.705349888,0.006823248,0.048353999
Slc35a1,404.7489981,-0.376375725,0.139112608,-2.705547193,0.006819196,0.048347687
Tmem229a,1184.901841,0.249696213,0.092265807,2.706270304,0.006804364,0.048264904
Zfp622,1192.281015,0.289427642,0.106903555,2.707371543,0.006781831,0.048144459
Mrps33,936.477788,0.292193723,0.10792993,2.707253891,0.006784235,0.048144459
Dock9,2645.841883,-0.204715701,0.075587685,-2.708320837,0.006762461,0.04803452
Scg3,5076.17921,0.316763801,0.116946118,2.708630312,0.006756157,0.048012043
Dock3,3707.881218,-0.207111283,0.076453241,-2.708992824,0.00674878,0.048012043
Asrgl1,2646.171295,0.227152116,0.083858571,2.708752513,0.00675367,0.048012043
Stk24,862.723531,-0.293929042,0.108503151,-2.708944747,0.006749758,0.048012043
Ctbp2,708.6745548,-0.28608279,0.105610343,-2.708852015,0.006751645,0.048012043
5730409E04Rik,862.9299656,-0.272384475,0.100526322,-2.709583631,0.006736772,0.048008133
Ncor1,4852.0799,-0.177202179,0.065383128,-2.710212609,0.006724009,0.047939521
Slc9a1,781.1312406,-0.29283921,0.108049409,-2.710234272,0.00672357,0.047939521
Mmp17,3352.286473,-0.208844739,0.077029348,-2.711235964,0.00670329,0.047855679
Ccdc85b,2054.995168,0.235513659,0.086851344,2.711686986,0.006694177,0.047855679
Kmt2d,1939.591337,-0.28848702,0.106409247,-2.71110856,0.006705867,0.047855679
Hecw2,1348.616134,-0.284828688,0.105052496,-2.711298611,0.006702024,0.047855679
Ddrgk1,1162.310598,0.308858261,0.113923495,2.711102414,0.006705991,0.047855679
Emc6,1332.114772,0.231243133,0.085258134,2.712270651,0.006682401,0.047814129
Snx1,1299.197945,0.249687198,0.092061958,2.712164758,0.006684536,0.047814129
Usp30,909.8497642,-0.267756829,0.098699212,-2.712856819,0.006670592,0.047781436
Sept6,1818.335863,0.276699791,0.101949097,2.714097514,0.00664566,0.047625155
Fam189a2,244.2323039,-0.437695015,0.161232766,-2.714677825,0.006634027,0.047564079
Ncstn,1267.66085,-0.239857724,0.088337065,-2.715255734,0.006622461,0.047503422
Champ1,964.4533615,-0.272612355,0.100400118,-2.715259317,0.006622389,0.047503422
Mlf2,11237.79972,0.209254126,0.077031466,2.716475948,0.006598099,0.047375175
Skil,2313.639814,0.202234294,0.074440172,2.716736002,0.006592917,0.047375175
Dok5,1625.225796,0.242893968,0.089415575,2.716461527,0.006598386,0.047375175
Fam135b,2073.045518,0.24885516,0.091543544,2.718434844,0.006559157,0.047168314
Ankrd52,1612.397449,-0.245826297,0.090420367,-2.718704925,0.006553804,0.047168314
Iscu,1443.73322,0.251115126,0.092366823,2.71867234,0.00655445,0.047168314
Stard10,1197.894647,0.33648843,0.123768008,2.718702788,0.006553847,0.047168314
Gm6142,87.89071427,0.705431649,0.259504801,2.718376104,0.006560322,0.047168314
Dusp22,594.2056341,-0.297925205,0.109517414,-2.72034551,0.006521374,0.047005375
Six3,187.4003265,-0.503328877,0.185027044,-2.720298974,0.006522292,0.047005375
Snap91,8044.888065,-0.229619073,0.084365396,-2.721721048,0.006494294,0.046869859
Dnajb6,5319.282134,0.208202336,0.076461633,2.7229648,0.006469895,0.046715819
Tmem201,1626.330424,-0.261257107,0.095855173,-2.725539983,0.00641964,0.046374849
Lrp6,1270.532129,-0.263704153,0.096746427,-2.725724992,0.006416043,0.046370769
Brd4,2163.225347,-0.216409788,0.07936621,-2.726724501,0.006396642,0.046252411
Nudt9,831.3912673,0.264670751,0.097024139,2.727885609,0.006374171,0.046111729
