"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030900","GO:0030900","forebrain development","44/1009","425/28891",1.60323038209343e-10,8.26785908045583e-07,6.40279586280261e-07,"18187/226407/19130/18423/16568/207615/14634/15904/21821/65100/14042/76510/223701/13845/56637/68146/19876/50913/74762/20807/19280/19091/21416/13797/24136/329628/76089/13131/18991/93760/231380/19305/18223/14183/50768/16795/58198/18186/67703/57810/17967/235439/22773/94190",44
"GO:0007059","GO:0007059","chromosome segregation","41/1009","416/28891",2.89902274129421e-09,7.47513013842712e-06,5.7888906739317e-06,"21749/20587/70385/21975/70218/11799/80913/219103/239122/52023/66570/106042/74201/68942/66578/239985/213389/67045/51792/22196/56399/54194/100502766/15511/18519/72415/212307/225745/66406/228421/215387/69737/75608/213582/93760/67070/68523/73420/26951/22038/20588",41
"GO:0060562","GO:0060562","epithelial tube morphogenesis","39/1009","395/28891",6.69221018073141e-09,1.15039093006773e-05,8.9088580441035e-06,"13838/75605/21808/69718/16568/18612/14634/105278/65100/14042/18141/140570/106042/76779/104156/73916/68146/19876/18763/18132/20807/21815/240641/24136/74533/329628/93760/18595/170823/15402/108655/269878/244058/14183/13642/50768/58198/18186/22773",39
"GO:0021915","GO:0021915","neural tube development","25/1009","198/28891",3.11259868620285e-08,4.01291785618702e-05,3.10768405669832e-05,"21808/69718/16568/14634/105278/65100/18141/140570/106042/76779/73916/68146/106633/21815/240641/21416/24136/66743/93760/170823/244058/50768/58198/72507/70495",25
"GO:0001654","GO:0001654","eye development","39/1009","428/28891",5.9344650422562e-08,4.69893236790806e-05,3.63894745085233e-05,"226407/21808/19130/114716/22632/14634/105278/218756/21834/21821/106042/20683/12724/58998/56297/15312/106633/18771/20807/17158/21815/18516/24136/14571/17536/16449/228839/242022/12167/18027/93760/18595/14183/14107/16795/234740/18186/57810/270190",39
"GO:0150063","GO:0150063","visual system development","39/1009","431/28891",7.14148291846592e-08,4.69893236790806e-05,3.63894745085233e-05,"226407/21808/19130/114716/22632/14634/105278/218756/21834/21821/106042/20683/12724/58998/56297/15312/106633/18771/20807/17158/21815/18516/24136/14571/17536/16449/228839/242022/12167/18027/93760/18595/14183/14107/16795/234740/18186/57810/270190",39
"GO:0007411","GO:0007411","axon guidance","28/1009","252/28891",7.71268658990169e-08,4.69893236790806e-05,3.63894745085233e-05,"18187/13838/21808/107449/13637/53625/18612/11491/399558/14634/105689/14042/140570/13845/20357/11658/19876/12561/12167/108151/108655/269878/13642/18186/17967/18007/270190/235611",28
"GO:0097485","GO:0097485","neuron projection guidance","28/1009","252/28891",7.71268658990169e-08,4.69893236790806e-05,3.63894745085233e-05,"18187/13838/21808/107449/13637/53625/18612/11491/399558/14634/105689/14042/140570/13845/20357/11658/19876/12561/12167/108151/108655/269878/13642/18186/17967/18007/270190/235611",28
"GO:0060485","GO:0060485","mesenchyme development","32/1009","316/28891",8.35688545106877e-08,4.69893236790806e-05,3.63894745085233e-05,"18187/13838/72674/21808/21859/114716/18570/65100/14042/106042/20357/56637/19876/21844/18132/68010/19877/106957/21416/24136/16401/16449/71890/108151/14056/15402/269878/14183/18186/102693/17967/22773",32
"GO:0048880","GO:0048880","sensory system development","39/1009","435/28891",9.1117556096724e-08,4.69893236790806e-05,3.63894745085233e-05,"226407/21808/19130/114716/22632/14634/105278/218756/21834/21821/106042/20683/12724/58998/56297/15312/106633/18771/20807/17158/21815/18516/24136/14571/17536/16449/228839/242022/12167/18027/93760/18595/14183/14107/16795/234740/18186/57810/270190",39
"GO:0042176","GO:0042176","regulation of protein catabolic process","35/1009","369/28891",1.06506986041029e-07,4.99324115466896e-05,3.86686607693458e-05,"76867/21945/21859/13650/18195/110616/56085/14198/105689/56438/106042/56637/208650/18763/56424/12005/77128/15511/56468/225055/56736/226089/59029/14084/242669/71890/170823/112406/244058/93960/93739/12306/14629/20588/94190",35
"GO:0050767","GO:0050767","regulation of neurogenesis","42/1009","494/28891",1.28611920508613e-07,5.52709728385765e-05,4.28029496850595e-05,"13838/19130/213084/216858/217715/66354/14634/15904/140570/12724/104156/67838/20357/56637/19876/21844/50913/20807/19280/17158/17190/28000/24136/12561/20585/76089/13131/108151/74132/14056/79362/269878/18223/244058/319583/18186/57810/26395/12306/23999/235611/12361",42
"GO:0021761","GO:0021761","limbic system development","18/1009","120/28891",1.94777379689723e-07,7.45792712306268e-05,5.77556831387074e-05,"18187/226407/19130/16568/14634/15904/56637/20807/19280/13797/24136/13131/231380/14183/16795/18186/67703/22773",18
"GO:0000819","GO:0000819","sister chromatid segregation","25/1009","218/28891",2.06862878887988e-07,7.45792712306268e-05,5.77556831387074e-05,"20587/70385/70218/11799/52023/106042/74201/68942/239985/67045/51792/56399/54194/100502766/15511/18519/228421/215387/75608/213582/93760/67070/73420/26951/20588",25
"GO:0043010","GO:0043010","camera-type eye development","35/1009","380/28891",2.16926327023347e-07,7.45792712306268e-05,5.77556831387074e-05,"226407/21808/19130/114716/22632/14634/105278/218756/21834/106042/20683/12724/58998/56297/15312/106633/18771/20807/17158/21815/24136/14571/16449/228839/12167/18027/93760/18595/14183/14107/16795/234740/18186/57810/270190",35
"GO:0007178","GO:0007178","transmembrane receptor protein serine/threonine kinase signaling pathway","36/1009","405/28891",3.48013718966832e-07,0.000112169171794497,8.68660559052738e-05,"21808/58250/14479/114716/20742/66313/11491/66354/20379/17129/83925/14042/19013/68799/240028/56424/12005/21815/68010/269003/21416/24136/14118/228839/12167/18027/50791/68939/269878/244058/17125/71805/73230/69106/18007/17130",36
"GO:0007224","GO:0007224","smoothened signaling pathway","21/1009","168/28891",4.59014613106725e-07,0.000139243432928905,0.000107832906633245,"16568/216858/14634/105278/219103/21821/14042/76779/73916/56297/68146/106633/269878/269881/14183/58198/234740/57810/19883/72507/22773",21
"GO:0071900","GO:0071900","regulation of protein serine/threonine kinase activity","32/1009","343/28891",5.35348762475143e-07,0.000153377420449128,0.000118778549990099,"13838/19130/380694/16706/11491/69237/66671/16475/23994/56637/19876/21844/12449/18763/12005/19252/12411/18519/14154/14370/67974/24136/19271/18767/76089/230784/67397/14056/269881/80982/15461/26395",32
"GO:0050770","GO:0050770","regulation of axonogenesis","22/1009","186/28891",6.44663155865538e-07,0.00017497515235782,0.000135504266667803,"13838/213084/217715/140570/13845/20357/56637/19876/21844/20807/19280/24136/12561/13131/108151/74132/269878/244058/18186/26395/23999/235611",22
"GO:0021537","GO:0021537","telencephalon development","28/1009","281/28891",7.34412587379031e-07,0.000189368285655683,0.000146650597711371,"19130/16568/207615/14634/15904/21821/14042/76510/13845/56637/68146/19876/74762/20807/19280/13797/24136/329628/13131/231380/19305/18223/16795/58198/67703/57810/235439/22773",28
"GO:0048762","GO:0048762","mesenchymal cell differentiation","26/1009","254/28891",1.08950384876667e-06,0.000267551016575702,0.000207196872291768,"18187/13838/72674/21808/21859/114716/18570/65100/14042/20357/56637/21844/18132/68010/19877/106957/21416/24136/16449/71890/108151/14056/14183/18186/102693/17967",26
"GO:0034329","GO:0034329","cell junction assembly","39/1009","481/28891",1.1773688941357e-06,0.000269175919739449,0.000208455229885076,"320772/109711/399558/16475/105689/18163/14787/140570/13845/56637/19876/74762/20807/19280/75739/19877/20411/19271/104010/12561/192167/76089/11853/12340/320840/50791/63873/18223/14402/13642/50768/16795/12554/18186/83964/67703/270190/235611/94190",39
"GO:0031346","GO:0031346","positive regulation of cell projection organization","38/1009","463/28891",1.20051311886898e-06,0.000269175919739449,0.000208455229885076,"13838/213084/18103/80913/11491/217715/68732/13803/219103/21821/140570/56637/19876/21844/18010/20807/18519/72722/22359/24136/12561/192167/76089/320840/14348/50791/56430/14056/269878/18223/244058/18442/15461/18186/26395/23999/235611/12361",38
"GO:0048588","GO:0048588","developmental cell growth","28/1009","291/28891",1.47428197861859e-06,0.000312882894588434,0.000242302787640411,"18187/213084/80913/217715/22632/68404/14042/19013/106042/20357/56637/28185/19876/21844/20807/19280/19091/24136/16401/69737/12561/108151/74132/108655/269878/244058/18186/23999",28
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","23/1009","211/28891",1.5279929210844e-06,0.000312882894588434,0.000242302787640411,"21808/320772/16475/140570/58998/11658/239857/19876/74762/19280/16401/104010/12561/192167/329628/18526/13131/50791/101489/72333/12554/67703/279653",23
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","28/1009","292/28891",1.57745884415344e-06,0.000312882894588434,0.000242302787640411,"18187/75605/213084/80913/217715/68404/14042/106042/20357/56637/19876/21844/20807/19280/19091/24136/16401/69737/12561/108151/74132/269878/244058/14183/93960/58198/18186/23999",28
"GO:0016358","GO:0016358","dendrite development","30/1009","327/28891",1.69894202807723e-06,0.000324497927362752,0.0002512977019308,"13838/210293/170728/213084/50932/18163/13196/106042/13845/56637/19876/21844/16443/239985/19280/22359/19091/56876/192167/76089/13131/68703/231380/56430/14056/18223/17258/18186/270190/12361",30
"GO:0006338","GO:0006338","chromatin remodeling","39/1009","489/28891",1.76214173948722e-06,0.000324548748233413,0.000251337058632124,"14897/75605/104248/20587/14479/22632/105203/56249/239122/69612/56637/106143/67768/66578/239985/12005/224826/18519/15193/193796/13831/268996/16906/17191/76073/67382/20833/76804/93760/68703/57741/231386/170823/14056/194388/65020/22083/72612/20588",39
"GO:0098813","GO:0098813","nuclear chromosome segregation","29/1009","312/28891",1.93931572837266e-06,0.000344863834869579,0.000267069469090594,"21749/20587/70385/70218/11799/52023/106042/74201/68942/239985/213389/67045/51792/56399/54194/100502766/15511/18519/72415/228421/215387/69737/75608/213582/93760/67070/73420/26951/20588",29
"GO:0021766","GO:0021766","hippocampus development","14/1009","89/28891",2.44921857306665e-06,0.000421020672710157,0.000326046851446135,"19130/16568/14634/15904/56637/20807/19280/13797/24136/13131/231380/16795/67703/22773",14
"GO:0048511","GO:0048511","rhythmic process","29/1009","317/28891",2.66278362762869e-06,0.000422539044595364,0.000327222709081128,"75605/19130/19377/15904/105689/19219/21685/19013/20683/56637/12394/18519/12916/12995/269378/192167/16490/12167/269604/18628/18595/14056/14583/79362/272322/14402/11906/19883/211949",29
"GO:0072521","GO:0072521","purine-containing compound metabolic process","38/1009","479/28891",2.70243841684416e-06,0.000422539044595364,0.000327222709081128,"66646/108147/18537/66859/50493/66414/18103/18604/50773/328099/68732/66355/14198/218756/213484/19013/68194/11964/11957/17850/106821/72900/15488/107227/11949/14571/269378/329910/11637/110208/100198/66681/66091/16828/21351/26395/19883/23959",38
"GO:0072001","GO:0072001","renal system development","31/1009","352/28891",2.70385659717801e-06,0.000422539044595364,0.000327222709081128,"13838/21808/16568/14634/17129/21821/14042/14787/106042/19876/18763/18552/13797/14118/16449/74533/329628/242022/75691/18027/18595/231470/11677/14183/13642/17125/58198/18186/73230/67703/17130",31
"GO:0005996","GO:0005996","monosaccharide metabolic process","27/1009","287/28891",3.45654250011835e-06,0.000524276166856186,0.000406009976639288,"16367/18640/72674/80915/18604/213053/19013/18519/17158/20411/68214/21416/56017/14571/72136/20322/14118/16592/74343/230784/110208/100198/66681/11677/16828/19883/14629",27
"GO:0001764","GO:0001764","neuron migration","22/1009","206/28891",3.59272656045062e-06,0.000529362596349825,0.000409949009634576,"18187/215690/18634/11491/320772/399558/223701/140570/56637/74762/20807/19091/240641/13797/56876/76089/13131/19305/16795/18186/67703/18007",22
"GO:0001841","GO:0001841","neural tube formation","17/1009","132/28891",3.70225557696936e-06,0.00053034811140086,0.000410712212252098,"21808/69718/105278/65100/18141/140570/106042/76779/73916/21815/240641/24136/93760/170823/244058/50768/58198",17
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","20/1009","177/28891",4.17677535525926e-06,0.000582152175866811,0.000450830318573361,"70385/70218/11799/52023/106042/74201/68942/51792/56399/54194/100502766/15511/18519/228421/215387/75608/213582/67070/73420/26951",20
"GO:0021543","GO:0021543","pallium development","20/1009","182/28891",6.38798473386935e-06,0.000824611642296055,0.000638595791284454,"19130/16568/14634/15904/76510/56637/19876/74762/20807/19280/13797/24136/329628/13131/231380/19305/16795/67703/57810/22773",20
"GO:0016055","GO:0016055","Wnt signaling pathway","36/1009","460/28891",6.64598249382966e-06,0.000824611642296055,0.000638595791284454,"20042/14634/20379/29811/18163/14042/106042/74775/56637/56297/21844/18763/12005/19043/68010/14370/67974/56515/56736/17191/74493/21416/24136/12995/67916/66743/71890/69217/22083/14183/12876/20437/93960/58198/56332/70495",36
"GO:0007389","GO:0007389","pattern specification process","38/1009","498/28891",6.67568040690411e-06,0.000824611642296055,0.000638595791284454,"18187/18423/16568/140859/320772/22632/14634/105278/21821/14042/106042/76779/73916/68146/19876/70028/106633/12005/20807/21815/18552/13797/24136/17536/12167/75691/66743/15402/79362/269878/14183/18186/57810/17130/546143/72507/70495/22773",38
"GO:0048638","GO:0048638","regulation of developmental growth","33/1009","405/28891",6.91555281254253e-06,0.000824611642296055,0.000638595791284454,"19130/213084/19377/80913/217715/22632/105689/19219/19013/20357/56637/28185/19015/20807/19280/74493/21416/69737/11990/12561/108151/74132/20751/108655/19305/269878/244058/14183/20437/93960/18186/17967/23999",33
"GO:0051098","GO:0051098","regulation of binding","33/1009","405/28891",6.91555281254253e-06,0.000824611642296055,0.000638595791284454,"13838/21808/69237/19013/110213/23994/50505/56637/208650/21844/18763/56424/18519/98053/68010/19877/17191/21416/227737/16401/18441/76089/67704/12395/66743/71890/244058/233744/16795/22751/57810/12306/22038",33
"GO:0046474","GO:0046474","glycerophospholipid biosynthetic process","19/1009","168/28891",7.11514073268686e-06,0.000824611642296055,0.000638595791284454,"269180/67292/56077/19210/16475/380921/12703/239827/55979/18701/56468/114663/12660/228812/16592/329777/232086/214932/22038",19
"GO:0022411","GO:0022411","cellular component disassembly","36/1009","462/28891",7.31474831101497e-06,0.000824611642296055,0.000638595791284454,"13838/21808/77987/20587/20742/216965/70218/18195/22367/68732/56085/106042/56637/67841/68942/224432/106583/54194/212307/12660/20833/228421/75608/53619/12340/93760/320827/63873/70381/19305/94178/93739/73420/23871/23999/20588",36
"GO:0198738","GO:0198738","cell-cell signaling by wnt","36/1009","462/28891",7.31474831101497e-06,0.000824611642296055,0.000638595791284454,"20042/14634/20379/29811/18163/14042/106042/74775/56637/56297/21844/18763/12005/19043/68010/14370/67974/56515/56736/17191/74493/21416/24136/12995/67916/66743/71890/69217/22083/14183/12876/20437/93960/58198/56332/70495",36
"GO:0032984","GO:0032984","protein-containing complex disassembly","24/1009","248/28891",7.35546549265436e-06,0.000824611642296055,0.000638595791284454,"20587/20742/216965/70218/18195/68732/56085/56637/68942/224432/106583/20833/228421/75608/12340/93760/320827/63873/70381/19305/94178/73420/23999/20588",24
"GO:1903050","GO:1903050","regulation of proteolysis involved in protein catabolic process","23/1009","232/28891",7.61568356078908e-06,0.000826004892779308,0.000639674752396782,"13838/13650/110616/56085/14198/56438/106042/56637/224619/18763/56424/12005/15511/56468/56736/59029/99890/170823/13032/93739/14629/20588/94190",23
"GO:0060236","GO:0060236","regulation of mitotic spindle organization","9/1009","40/28891",7.68823634931293e-06,0.000826004892779308,0.000639674752396782,"219103/74201/68942/18763/15511/75608/66679/213582/73420",9
"GO:0001843","GO:0001843","neural tube closure","15/1009","112/28891",8.40924098837665e-06,0.000885029709735885,0.000685384754240623,"21808/105278/65100/140570/106042/76779/73916/21815/240641/24136/93760/170823/244058/50768/58198",15
"GO:0060606","GO:0060606","tube closure","15/1009","113/28891",9.38723907629223e-06,0.000968199838328781,0.000749793369588479,"21808/105278/65100/140570/106042/76779/73916/21815/240641/24136/93760/170823/244058/50768/58198",15
"GO:0071559","GO:0071559","response to transforming growth factor beta","24/1009","252/28891",9.64424566821931e-06,0.000975203429627588,0.000755217091129496,"21808/58250/14479/114716/66313/11491/66354/17129/19013/12394/56424/12005/12193/68010/19877/269003/24136/14118/12167/68939/20679/17125/11906/17130",24
"GO:0000280","GO:0000280","nuclear division","35/1009","450/28891",1.01494313605305e-05,0.00100655033704338,0.000779492764814835,"21749/70385/70218/11799/52023/19355/106042/52864/50505/223989/56637/74201/68942/20112/213389/51792/56399/54194/100502766/15511/224826/18519/72415/228421/215387/75608/213582/18027/22697/67070/14183/20437/14087/73420/26951",35
"GO:0090150","GO:0090150","establishment of protein localization to membrane","25/1009","270/28891",1.03534865334027e-05,0.00100741377458033,0.000780161428157492,"75734/226407/20335/20742/18195/217337/58998/28185/56297/71446/224454/56462/19326/68617/73024/75608/67437/229801/56430/19305/80982/54208/15461/16795/234678",25
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","35/1009","451/28891",1.06434584381001e-05,0.00101645028083856,0.000787159479808025,"14897/77987/66753/66313/271005/110616/56085/14198/106052/448987/56438/106042/56637/12449/56424/12005/54197/15511/224826/14154/224938/56468/56736/59029/107568/230249/14084/170823/387524/101358/20437/30843/14629/211949/20588",35
"GO:0033152","GO:0033152","immunoglobulin V(D)J recombination","5/1009","10/28891",1.11986621345952e-05,0.00105002728414741,0.000813162184471851,"22632/78412/14056/108655/319583",5
"GO:0070507","GO:0070507","regulation of microtubule cytoskeleton organization","18/1009","159/28891",1.21291568054151e-05,0.00110313817463191,0.000854292323066955,"216965/219103/56637/74201/68942/18763/15511/19877/212307/228421/75608/66679/213582/63873/56430/14228/73420/102693",18
"GO:0043616","GO:0043616","keratinocyte proliferation","11/1009","64/28891",1.21929175788286e-05,0.00110313817463191,0.000854292323066955,"16568/20913/13039/21821/73916/19015/67996/14183/13642/12554/12361",11
"GO:0003002","GO:0003002","regionalization","35/1009","455/28891",1.2848341189263e-05,0.00114239475022465,0.000884693402396805,"18187/18423/16568/140859/22632/14634/105278/21821/14042/106042/76779/73916/68146/19876/106633/12005/20807/21815/18552/13797/24136/12167/75691/66743/15402/79362/269878/14183/18186/57810/17130/546143/72507/70495/22773",35
"GO:0043087","GO:0043087","regulation of GTPase activity","29/1009","345/28891",1.3682737975012e-05,0.0011959640633413,0.00092617855267075,"13838/210293/226407/217869/218038/67046/16475/13196/19387/140570/13845/56637/208650/21844/17850/19765/75415/212307/226089/19091/74998/227800/76089/14056/244058/15461/26395/14697/235611",29
