gene_name,endo_peaks,exo_peaks,endo_signal,exo_signal
Fbxo18,1,1,30.42605,35.17373333333333
Tial1,1,1,72.25829999999999,32.6402
Bahcc1,1,2,28.3471,17.6669
Gm44639,1,1,79.0684,12.4162
Lrig1,1,1,40.6454,43.0379
Sat2,1,1,13.284613333333334,8.22643
Prune2,1,1,39.75506666666666,15.30175
Usp29,1,1,77.9189,129.64183333333332
Phf5a,1,1,15.18405,16.267799999999998
Mmp17,1,1,19.7752,13.698675
Cisd1,1,1,17.933149999999998,9.10106
9230117E06Rik,1,2,45.41953333333333,75.78909999999999
Smarca5,1,1,7.773,16.009095
Gm11269,1,1,16.818199999999997,24.561200000000003
Krr1,1,1,23.08575,22.52915
Hn1l,1,1,16.46465,12.65995
Gm23202,1,1,39.4221,18.2298
Pde1a,1,1,24.763466666666663,25.54346666666667
Serpine2,1,1,37.86865,54.684333333333335
2500002B13Rik,1,1,33.06953333333333,17.285205
Slc25a3,1,1,18.6827,8.27875
Gm27920,1,1,18.815876666666668,11.526396666666663
Pelp1,1,1,19.68295,11.635525
Nek8,1,1,17.2336,14.735845
Gm26554,1,1,17.847166666666666,9.207375
Nprl3,1,1,18.09323333333333,8.263365
Tsr1,1,1,11.29105,6.6770700000000005
AA474408,1,1,78.80829999999999,130.23266666666666
Ten1,1,1,20.738666666666667,18.36555
Apoa2,1,1,53.00906666666666,53.895900000000005
Chka,1,1,24.0595,5.53453
Gm25414,1,1,12.878163333333331,6.901619999999999
6430503K07Rik,2,1,17.10865,9.761826666666666
Hist1h2ak,1,1,21.3493,11.35815
Fasn,1,1,15.89824,22.3373
Dhx38,1,1,24.584200000000003,39.5474
Kmt2e,1,1,21.10365,39.49866666666667
Mpzl1,1,1,14.32295,19.5202
Ptgfr,1,1,18.258133333333333,14.48815
Cacng7,3,2,55.46996666666666,39.88225
Gm12043,1,1,25.442666666666668,24.372766666666667
AV356131,1,1,9.432143333333332,12.310616666666666
Cenpl,1,1,32.8204,20.8342
Mmab,1,1,33.11065,43.323
D830025C05Rik,1,1,14.871714999999998,8.785953333333334
Pcbd2,1,1,11.09098,17.18247
Ncaph,1,1,19.600266666666663,9.77432
Neat1,1,1,37.15375,53.8419
Nme2,1,1,13.510603333333334,13.33371
Napb,1,1,26.729233333333337,9.33021
Tmem64,1,1,14.31915,12.59655
St3gal4,1,1,15.86562,10.145935
Chp1,1,1,20.482266666666664,21.0477
Ubl3,1,1,33.38816666666667,21.31154666666667
Sept8,1,1,9.44324,9.816495
Zbtb48,1,1,17.2835,6.586665
Otud6b,1,1,21.69143333333333,11.209223333333334
Gm12526,1,1,15.18185,10.83368
Igkv4-75,1,1,15.04255,10.11207
Gm5113,1,1,54.0919,89.39013333333334
Arfip1,1,1,15.54575,12.20474
Arhgap33,1,1,13.240050000000002,19.4812
3110035E14Rik,1,1,17.556466666666665,10.308123333333333
A730013G03Rik,1,1,17.7504,9.585865
Gm13283,1,1,14.09945,19.6103
Abhd11,1,1,49.0065,52.614666666666665
Elovl5,1,1,14.32795,16.07014
Klhl24,1,1,34.5258,30.69995
6030443J06Rik,1,1,17.405,12.107866666666666
Epha5,1,1,24.83083333333333,19.2328
1700051A21Rik,1,1,23.17335,10.000435
Ptbp1,1,1,27.9137,19.57407
Gm13496,1,2,25.9445,25.12817
Nbeal2,1,2,22.1651,17.7619
Ebp,1,1,19.311733333333333,4.7776
Psma6,1,1,7.0963,3.3865
Rpl22l1,1,1,23.134933333333333,15.065633333333333
1700092M07Rik,1,1,31.546,18.859066666666667
Gm11060,1,1,10.09956,2.842765
Ano3,1,1,13.01028,14.9893
Rbm28,2,1,10.760823333333333,6.269455
Rnf10,1,1,11.057635,8.872906666666667
Gm28723,1,1,17.430333333333333,14.3977
Prmt7,1,1,19.24573333333333,14.164165
Dtx2,1,1,17.1461,7.080780000000001
Gm6994,1,1,18.4692,19.22833333333333
Gm26930,1,1,19.44615,18.4036
Adam11,1,1,7.270495,5.18738
Wdr37,1,1,15.702099999999998,16.305699999999998
Gm44767,1,1,13.311955,8.41482
Abcd4,1,1,23.1825,14.805633333333333
3300002A11Rik,1,1,38.0426,40.86665
1700029J07Rik,2,1,31.825499999999995,48.76596666666666
Tnc,1,1,16.884935,14.294256666666667
Gm22902,1,1,12.40015,8.142299999999999
Psmc5,1,1,18.280066666666663,21.25188
Pin4,1,1,23.139350000000004,15.92765
Zfp677,1,1,20.532306666666667,12.3889
Stat3,1,1,49.1151,83.5573
Rbx1,1,1,41.02243333333333,54.82226666666667
Klf9,1,1,20.133433333333333,27.4632
Gm4890,1,2,15.747653333333332,10.22061
Hinfp,1,1,24.1626,20.77616666666667
Gm23918,1,1,22.71973333333333,5.644425
AU022252,1,1,31.03395,22.667266666666663
mt-Tq,1,1,48366.03333333333,97576.33333333331
Cpeb3,1,1,7.729385000000001,6.22941
Gm36940,1,1,26.34903333333333,39.26073333333333
Sh2d3c,1,1,20.43985,8.033605
Golgb1,1,1,43.44466666666667,31.5863
Faf2,1,1,12.100776666666668,15.38525
Arl4a,1,1,20.70675,13.333765
Gm11412,1,1,37.85483333333334,40.9065
Gm44194,1,1,16.173485,15.5333
Orai3,2,1,14.4043,39.77365
Caps2,1,1,25.6202,30.96875
Gm24230,1,1,11.7785,7.336325
Dcaf17,1,1,20.1846,15.6807
1700105P06Rik,1,1,18.122803333333334,15.900966666666667
1810058I24Rik,1,1,11.1482,9.212725
Foxo1,1,1,20.4889,11.441146666666668
Necab2,1,1,5.812215,7.63246
Inpp1,1,1,15.375233333333334,8.675735
mt-Co2,1,1,48366.03333333333,97576.33333333331
Gm13977,1,1,24.519666666666662,6.00849
Gm15941,2,2,30.5951,16.42475
Ctr9,1,1,37.559666666666665,24.61825
Gk5,1,1,22.102850000000004,29.458
Zfp710,1,1,17.917536666666667,18.070756666666664
Fbxo9,1,1,24.00605,41.844033333333336
Gm43618,1,1,18.258133333333333,14.48815
Fam117b,1,1,14.17015,7.41854
Klc4,1,1,29.1974,18.04125
Polr3k,1,1,22.630366666666664,12.48015
2610001J05Rik,1,1,15.8905,13.923
Ptov1,1,1,60.11956666666666,99.8134
Pkn2,1,1,21.801266666666667,10.463183333333337
Gm42884,1,1,14.14585,22.93065
