"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007411","GO:0007411","axon guidance","68/1961","252/28891",1.96178996824593e-23,5.86673290003945e-20,4.04231985562253e-20,"110648/12162/244682/22416/11878/14573/14028/20359/19649/18997/16774/14725/18211/16869/228994/353237/18053/231044/20349/17181/210801/14633/20315/19699/13138/12167/107448/58235/18186/22326/108655/16870/20355/13848/14472/65079/13636/11876/58208/114873/18131/225743/52666/20266/13640/13643/545156/237847/68193/16971/16572/13637/223435/22422/384569/54713/26456/18508/13842/12661/230735/20354/15229/12064/243743/13641/65254/140570",68
"GO:0097485","GO:0097485","neuron projection guidance","68/1961","252/28891",1.96178996824593e-23,5.86673290003945e-20,4.04231985562253e-20,"110648/12162/244682/22416/11878/14573/14028/20359/19649/18997/16774/14725/18211/16869/228994/353237/18053/231044/20349/17181/210801/14633/20315/19699/13138/12167/107448/58235/18186/22326/108655/16870/20355/13848/14472/65079/13636/11876/58208/114873/18131/225743/52666/20266/13640/13643/545156/237847/68193/16971/16572/13637/223435/22422/384569/54713/26456/18508/13842/12661/230735/20354/15229/12064/243743/13641/65254/140570",68
"GO:0060562","GO:0060562","epithelial tube morphogenesis","87/1961","395/28891",5.98195649662233e-23,1.19260272687661e-19,8.21731918746541e-20,"18504/21386/20671/22408/18095/252973/18595/12162/22416/12614/18479/20319/18505/99683/56044/14573/11350/13036/22413/16814/14165/66042/14725/18741/18707/14734/16869/57246/18667/106042/20349/64138/14633/94275/20315/13138/22414/18186/108655/16870/13982/20474/11622/21393/14368/14173/22773/14472/94109/269593/22417/18018/16842/75605/54710/20472/50768/20191/99377/18854/17769/18510/24136/15110/11684/54485/17295/21420/19411/12370/12977/16974/244058/12043/216285/71228/17242/73181/69847/380718/15364/11839/15229/140570/13836/71461/20733",87
"GO:0007389","GO:0007389","pattern specification process","99/1961","498/28891",2.03266682333274e-22,3.03934506758827e-19,2.09418174035465e-19,"18504/18509/15427/15434/21386/20671/22408/18095/13796/12162/22416/12614/13411/20319/18505/14573/11838/24113/13389/22413/16814/14165/13392/18503/66042/14725/18741/19434/15423/14734/16869/57246/106042/15206/320145/22411/14633/66743/19699/17537/12167/242620/22414/18186/23872/29871/16870/21393/12667/380614/14173/17300/22773/14472/27412/78405/228357/232174/17765/12006/13813/53883/16842/21892/20472/22421/12022/17701/24075/18510/12020/24136/15404/15110/54485/20473/59058/19411/18088/13798/16974/18423/216285/17536/15400/22422/54713/11764/18508/380718/57354/17130/22658/16917/15229/13641/66993/20465/15405",99
"GO:0001763","GO:0001763","morphogenesis of a branching structure","65/1961","249/28891",1.30201867714191e-21,1.2284761107495e-18,8.46449541721467e-19,"18504/21386/22408/18095/252973/18595/12162/12614/18479/20319/14573/11350/13036/22413/14165/13392/12702/18741/14734/16869/57246/18667/72780/20349/64138/14025/14633/94275/20315/13138/22414/12550/18186/13982/20474/11622/14173/20429/14472/57764/94109/22417/18018/16842/75605/54710/20472/217325/18854/18510/54485/17295/21420/12977/16974/12043/71228/17242/73181/380718/15364/11839/15229/13836/20733",65
"GO:0050767","GO:0050767","regulation of neurogenesis","97/1961","494/28891",1.37913011449485e-21,1.2284761107495e-18,8.46449541721467e-19,"211323/21844/12162/22416/13048/18479/20666/20359/11421/13389/22413/13392/18997/320563/18420/14725/17344/382867/171207/13004/15206/22341/20194/20349/18049/14025/14083/20315/118454/19699/13138/18080/242620/23966/12550/18186/22326/56320/16870/20355/18742/14173/29819/20429/65079/228357/17756/228550/11423/16842/70237/21907/22421/12323/18011/15901/24136/13640/54485/17295/17196/20393/18088/13643/244058/545156/16971/94091/67095/19268/22422/54713/27279/17242/14461/229715/21909/73181/26456/330790/18508/723951/13631/15364/100313531/20354/12064/387216/243743/76901/66993/65254/56381/11426/140570/19266/16975",97
"GO:0061138","GO:0061138","morphogenesis of a branching epithelium","62/1961","229/28891",1.43777508363927e-21,1.2284761107495e-18,8.46449541721467e-19,"18504/21386/22408/18095/252973/18595/12162/12614/18479/20319/14573/11350/13036/22413/14165/12702/18741/14734/16869/57246/18667/72780/20349/64138/14633/94275/20315/13138/22414/12550/18186/13982/20474/11622/14173/14472/57764/94109/22417/18018/16842/75605/54710/20472/217325/18854/18510/54485/17295/21420/12977/16974/12043/71228/17242/73181/380718/15364/11839/15229/13836/20733",62
"GO:0045165","GO:0045165","cell fate commitment","73/1961","307/28891",1.65877694506635e-21,1.24014311355523e-18,8.54488386833521e-19,"18504/18509/21386/20671/22408/211323/22416/20319/18505/11878/18740/13389/22413/16814/14165/13392/66042/76246/21384/260298/57246/231044/19207/232077/22411/15379/14633/72154/17341/242620/23966/22414/22409/23872/21349/14465/14581/12667/14173/16874/17927/12393/116870/78405/58208/232174/13813/20678/18131/22417/21907/20472/104382/22421/18854/216795/15110/14842/54485/59058/21420/18088/20668/12043/12394/57765/22422/54713/14461/18508/16450/225207/229542",73
"GO:0050807","GO:0050807","regulation of synapse organization","73/1961","309/28891",2.48902778539295e-21,1.65409724271503e-18,1.13971272278519e-18,"333605/74342/208188/12404/211323/330814/21844/14810/22416/13048/18013/11838/11350/50791/13004/53328/93842/18211/75409/11441/238205/14083/19699/99633/13138/58235/56320/64085/20474/233067/15898/29819/13636/228357/228550/59036/70237/22421/12323/18011/241263/80749/13640/242662/386750/223254/241770/13643/230775/11651/545156/69601/14804/22346/241514/71228/171171/108672/19268/216856/216169/229715/73181/74762/14803/13631/18430/20354/105827/12064/269788/19266/16975",73
"GO:0003002","GO:0003002","regionalization","91/1961","455/28891",6.85009306071085e-21,4.09704065961116e-18,2.82295940344031e-18,"18504/18509/15427/15434/21386/20671/22408/18095/13796/22416/12614/13411/20319/18505/14573/11838/24113/13389/22413/16814/14165/13392/18503/66042/14725/18741/15423/14734/16869/57246/106042/15206/320145/22411/14633/66743/19699/12167/242620/22414/18186/23872/29871/16870/21393/12667/380614/14173/17300/22773/14472/78405/228357/232174/17765/12006/13813/53883/16842/21892/20472/22421/12022/17701/24075/18510/12020/24136/15404/15110/54485/20473/59058/19411/18088/13798/16974/18423/216285/15400/22422/54713/11764/18508/380718/17130/22658/16917/15229/66993/15405",91
"GO:0048754","GO:0048754","branching morphogenesis of an epithelial tube","55/1961","191/28891",1.16850214828136e-20,6.04644877216709e-18,4.16614840733096e-18,"18504/21386/22408/18095/18595/12162/12614/18479/20319/14573/11350/13036/22413/14165/18741/14734/16869/57246/18667/20349/64138/14633/94275/20315/13138/22414/18186/13982/20474/11622/14173/14472/94109/22417/18018/16842/75605/54710/20472/18854/18510/54485/17295/21420/12977/16974/12043/71228/17242/73181/380718/15364/11839/15229/13836",55
"GO:0050803","GO:0050803","regulation of synapse structure or activity","73/1961","317/28891",1.21313133700059e-20,6.04644877216709e-18,4.16614840733096e-18,"333605/74342/208188/12404/211323/330814/21844/14810/22416/13048/18013/11838/11350/50791/13004/53328/93842/18211/75409/11441/238205/14083/19699/99633/13138/58235/56320/64085/20474/233067/15898/29819/13636/228357/228550/59036/70237/22421/12323/18011/241263/80749/13640/242662/386750/223254/241770/13643/230775/11651/545156/69601/14804/22346/241514/71228/171171/108672/19268/216856/216169/229715/73181/74762/14803/13631/18430/20354/105827/12064/269788/19266/16975",73
