"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034248","GO:0034248","regulation of amide metabolic process","133/2716","482/28891",6.76676512308051e-31,4.09592292900063e-27,2.57350761996736e-27,"226982/17975/18627/108954/12227/19735/108989/381305/15979/19205/12696/17347/13629/13144/12567/103135/18813/66118/68585/67579/18148/69125/18626/23879/276770/72508/22057/20918/70207/78943/217351/80913/66912/13665/217980/56541/13803/105083/67630/56335/68966/100037258/18458/68036/55944/53357/213988/328572/73826/140570/207214/20683/21357/106338/53817/224742/16549/12193/72416/19877/16210/225363/14151/19653/20168/225929/52874/64930/227715/228019/228026/18024/27103/229096/18805/50911/12457/212114/229317/229663/13684/11428/72181/22608/20218/230784/74326/56717/230908/231207/17855/17690/27979/66870/13666/69956/232164/243574/101122/232560/232791/606496/27998/11652/233033/73830/15469/22121/17872/233489/13690/13631/15568/67031/13685/18983/12367/234384/12317/270086/234594/58994/23988/16201/20660/64602/18746/214424/67941/56403/17973/17350/110954",133
"GO:0006417","GO:0006417","regulation of translation","119/2716","418/28891",4.14904477287945e-29,1.25570840051196e-25,7.88973619179655e-26,"226982/17975/18627/108954/12227/19735/108989/381305/19205/12696/17347/13629/13144/12567/103135/18813/66118/67579/18148/69125/18626/23879/276770/72508/22057/20918/70207/78943/217351/80913/66912/13665/217980/56541/13803/105083/56335/68966/100037258/18458/68036/55944/213988/328572/73826/140570/207214/21357/106338/53817/224742/16549/12193/72416/19877/16210/225363/14151/19653/225929/52874/64930/227715/228019/27103/229096/18805/50911/12457/212114/229317/229663/13684/11428/72181/22608/20218/230784/74326/56717/230908/231207/17855/17690/27979/66870/13666/69956/232164/243574/101122/232560/232791/27998/11652/233033/73830/15469/22121/17872/13690/13631/15568/67031/13685/18983/234384/12317/270086/234594/16201/64602/18746/214424/67941/56403/17973/17350/110954",119
"GO:0006338","GO:0006338","chromatin remodeling","126/2716","489/28891",2.66058571675333e-26,5.36817511450263e-23,3.37287585776483e-23,"18627/208727/108989/19821/15182/66403/17192/21423/16969/15353/21665/64050/18148/70802/319162/18626/216850/20926/53892/217127/20918/83796/20682/22378/107817/30951/238247/70127/19720/80838/16468/218214/110052/66336/18193/170936/54169/11546/67772/56335/75339/17869/93696/328572/77044/69612/15260/56637/106143/67768/66578/239985/12005/13163/224826/18519/15193/193796/74355/13831/225280/14815/225876/17283/23942/13194/67155/53893/140858/11909/18508/50518/228829/21969/71389/18706/56456/229542/319154/321000/229700/320790/109331/101739/67733/71514/19646/15441/17769/68703/66993/55982/22385/11461/15289/14056/12417/78783/330409/54343/606496/20924/68845/101685/244059/13626/233532/75565/233875/17955/69260/234366/93762/66929/214572/23837/244694/13433/214162/20466/235441/77853/235626/20937/22289/15161",126
"GO:1901873","GO:1901873","regulation of post-translational protein modification","89/2716","295/28891",5.15004632481995e-24,7.79330760103379e-21,4.89660983462487e-21,"18627/208727/67141/70097/14360/11793/108705/59004/15353/56371/93765/67245/17846/18148/26420/22210/57783/56486/78246/216869/217410/70611/15251/110052/105171/24064/67819/211770/56438/328572/69612/56637/208650/224619/22196/56424/12005/13163/18754/13819/13653/225896/19211/12234/67121/140858/14828/21353/228829/11863/12042/192656/67490/15502/269523/21812/18046/71890/56717/12568/55982/24116/100737/16885/22385/56150/232341/77891/22185/606496/22215/66412/13626/233805/233900/102323/73945/93762/64209/66855/11797/23988/14629/211949/28135/56289/20937/15161/59026",89
"GO:0008380","GO:0008380","RNA splicing","113/2716","449/28891",8.26438809766879e-23,1.00048682310378e-19,6.28615456776365e-20,"17975/27878/56009/208768/66125/432467/67332/19205/12696/16969/70312/103284/18148/59013/216825/23879/20020/20926/70439/78943/13207/107817/20382/664883/18949/67039/69562/19134/15387/56541/18708/15381/56335/27374/56215/18458/223527/93686/67040/72193/67760/54614/110213/20462/67367/75956/20383/53817/224836/18519/16549/72692/76781/56070/19653/319322/22668/70567/76479/269254/227707/56194/229279/80744/69408/66877/19383/170791/22722/56706/74200/74044/229700/66921/67225/28036/66185/70052/101739/22608/230753/71514/20218/51796/230908/269623/70650/100683/76522/192196/18139/101206/66078/22185/107686/19153/11652/15388/15469/233208/20637/68052/75565/233908/56844/50783/68278/101985/214572/234723/15481/76183/56403",113
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","112/2716","454/28891",7.14621362665271e-22,7.20933851368814e-19,4.52969646194671e-19,"109019/319651/12043/76707/108989/208768/76843/67141/52696/21423/56371/216190/237459/52468/12567/15574/12450/68964/22680/53892/72508/83796/209334/194655/15902/15512/70127/71375/26931/13557/15904/20620/218630/72993/382985/17869/77044/11504/239985/67045/12449/18763/67052/12193/12314/67974/67655/17283/16319/13194/67155/19211/68431/67121/67991/66442/26427/68612/13559/56456/12428/54124/229543/229776/108058/28036/19055/13684/16600/214444/18028/20104/18027/20460/28010/12568/66993/21335/52206/12452/18973/330177/56317/59008/231803/11461/12366/14056/56150/24100/12576/77891/12315/12447/75430/233805/30949/12237/13685/56453/16412/17535/12581/102423/11920/20466/67941/22137/12530/270201/69274/19054",112
"GO:1903320","GO:1903320","regulation of protein modification by small protein conjugation or removal","76/2716","249/28891",4.80677067830467e-21,4.1564832736826e-18,2.61155826476914e-18,"18627/208727/67141/70097/14360/11793/108705/59004/15353/56371/93765/67245/17846/18148/26420/57783/56486/78246/216869/217410/70611/15251/105171/24064/67819/211770/56438/56637/208650/224619/22196/56424/12005/13163/18754/13819/13653/225896/19211/12234/67121/14828/21353/11863/12042/192656/67490/15502/269523/21812/71890/56717/12568/55982/100737/16885/56150/232341/77891/22185/606496/22215/66412/233805/233900/102323/73945/64209/66855/11797/23988/14629/211949/28135/56289/59026",76
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","109/2716","451/28891",1.38322751823143e-20,1.04658452098186e-17,6.5757908202239e-18,"66967/76843/216150/56371/93765/13198/319701/67245/17846/103573/103583/26420/12330/22210/56486/216869/116891/67128/21927/67163/66313/12006/217410/70611/66244/94090/104771/26931/71991/20620/268721/67089/28199/211255/67819/211770/106025/56438/22230/56637/76302/12449/56424/12005/224727/224826/14154/224938/56468/71745/240263/93687/225896/13194/12234/68431/14828/18024/77006/56407/68612/212114/97064/94232/229644/329795/269514/67490/433693/269523/19359/230815/230903/63958/74646/53312/19822/52206/59008/80751/14673/76788/387524/13666/68477/22644/101358/14794/77891/606496/15204/22215/109815/11865/233902/244373/68867/74841/12317/64209/11797/23806/74165/14629/71538/211949/68292/54644/20438",109
"GO:0006397","GO:0006397","mRNA processing","113/2716","496/28891",3.6408472563964e-19,2.4486720492186e-16,1.53852410963277e-16,"17975/56009/208768/66125/67332/19205/12696/16969/70312/103135/18148/59013/268420/23879/20926/78943/13207/107817/20382/664883/18949/67039/51786/69562/19134/15387/56541/15381/67772/56335/27374/56215/54196/219249/18458/93686/67040/72193/54614/20462/224432/67367/106583/75956/20383/54194/53817/224836/16549/72692/56070/19653/319322/22668/70044/83410/70567/76479/269254/227707/56194/229279/80744/228410/69408/66877/24128/19383/170791/22722/67337/74200/75137/74044/229700/229709/66921/67225/28036/66185/70052/101739/22608/230753/71514/20218/51796/230908/269623/20492/70650/76522/192196/101122/66078/22185/107686/54624/15388/233208/20637/74737/56844/50783/68278/18747/68219/214572/234723/15481/76183/235497/56403",113
"GO:1901875","GO:1901875","positive regulation of post-translational protein modification","58/2716","178/28891",7.07237443673783e-18,4.28090824655741e-15,2.68973566736145e-15,"208727/108705/59004/56371/93765/67245/17846/18148/26420/57783/56486/78246/217410/70611/110052/105171/67819/211770/56438/328572/69612/56637/208650/224619/56424/12005/13653/19211/12234/67121/140858/14828/21353/228829/11863/12042/192656/269523/55982/24116/100737/22385/77891/606496/22215/66412/13626/233805/233900/102323/93762/11797/23988/211949/56289/20937/15161/59026",58
"GO:0007059","GO:0007059","chromosome segregation","98/2716","416/28891",7.84008198633104e-18,4.31418329666016e-15,2.71064270015446e-15,"76707/74117/108989/67141/52696/13494/22210/83431/22680/237911/67300/66140/16211/103733/83796/20892/80913/209334/70127/66336/21974/218914/71988/76789/16581/77044/74201/66578/239985/213389/67045/51792/22196/56399/54194/100502766/224727/18519/67052/212307/66406/16319/13194/67155/19211/16551/13006/66617/227707/66442/668880/26371/72119/71878/21969/68612/13605/56456/70099/213582/76123/14211/214444/67733/72787/20460/70012/230936/66993/21335/231123/19822/54392/52206/12617/56317/59008/22385/50878/77053/11461/56150/232933/12447/233406/78610/75430/101706/30949/12237/234094/93762/17535/11920/22137/20842/28135/17350",98
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","80/2716","304/28891",9.2504394576959e-18,4.66607583645277e-15,2.93174015444345e-15,"17975/12227/381305/22033/19205/12696/16969/103135/18148/69125/268420/23879/20926/70439/22057/13207/12006/107817/20382/217351/80913/664883/67039/72308/217980/15387/15381/56335/27374/56215/54196/18458/93686/67040/14904/213988/20462/20383/16549/12193/19877/19653/22668/225929/227715/170791/22722/229096/50911/12457/229663/229700/229709/28036/22608/230753/20218/51796/74326/56717/230908/232791/22185/27998/54624/233033/15388/20637/233908/15568/67031/18983/234594/117149/15481/76183/235497/212943/56403/17350",80
"GO:0009314","GO:0009314","response to radiation","100/2716","433/28891",1.53973452294921e-17,7.16924082108582e-15,4.50450269750242e-15,"22592/109019/12912/18582/18627/12043/20822/13603/11545/208768/209456/76843/20393/20869/12696/15574/18148/26420/22210/319162/18626/14784/11852/15902/15251/13665/108138/27015/15357/18708/71991/320234/18950/56335/17869/56438/328572/14375/50505/20357/15312/17685/17688/13653/14151/19653/17283/13194/12369/21353/228140/107986/12359/17536/27103/18538/110911/12048/67068/13605/229543/60599/22590/22166/230484/12371/56717/63958/12568/55982/19046/71101/19822/231841/13197/20893/18294/19362/11652/74041/446101/233805/101489/54006/26400/319583/22427/12367/18004/16412/244694/12581/15270/214162/235323/11920/20320/72565/15587/12530",100
"GO:0006302","GO:0006302","double-strand break repair","78/2716","296/28891",2.17935317938378e-17,9.42258913915002e-15,5.92030303542376e-15,"22592/109019/14194/11545/71567/16969/59004/93765/64050/117599/15574/104570/237911/103537/83796/209334/70127/68149/56196/110052/108138/71991/11546/71988/72749/14375/77044/52864/50505/223989/17217/239985/213389/68047/15193/74355/17685/13831/56515/225876/67155/226151/67788/50755/227622/269254/227867/228140/69596/56456/94232/229543/140917/269523/71514/71890/66993/67956/11461/100683/71777/18294/19362/232811/78610/233908/17314/319583/109145/22427/272551/244694/17535/66962/15270/11920/235626/17350",78
"GO:0006913","GO:0006913","nucleocytoplasmic transport","87/2716","359/28891",8.83315956152441e-17,3.31273540173186e-14,2.08142339274256e-14,"227154/108989/56009/226747/108705/216190/17931/73192/66118/19058/103573/18148/268420/19069/20926/11640/16211/16480/20848/72149/13207/217378/66244/19042/13557/28114/18708/72993/54196/71844/16648/56274/223527/223690/328572/19387/73826/56637/67045/18763/22196/12005/20383/54194/53817/19330/66306/15526/71983/19653/14296/64930/11909/214585/110750/13605/97112/229709/19055/13684/12014/433693/22166/72787/20218/230908/12568/74504/269113/100764/208104/72170/232341/269800/12576/75547/11865/15568/26356/68278/18747/12317/68051/72565/11487/15587/235626",87
