"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030900","GO:0030900","forebrain development","150/3842","480/28928",0.3125,2.35294117647059,11.6973728405136,6.47952082960139e-25,4.14948513927673e-21,2.24873475528377e-21,"11878/211323/13796/14810/18479/24113/18032/14725/12156/15242/13395/16869/18072/18423/231580/20349/192119/20525/72832/22408/14633/20356/20315/108147/18080/16568/242620/67703/18186/15251/381293/20675/11819/21350/107503/11921/56217/12667/244152/20473/83431/13865/13131/18991/12387/235439/18740/15531/16324/50768/22773/22594/12799/22416/246179/18012/252838/11803/12316/268882/22422/12558/73191/14183/12176/19353/12918/18227/18131/13797/67269/22417/76089/16795/18844/20133/13488/224045/21821/329628/319565/21907/14056/19091/13555/20185/77579/18994/93760/102774/16490/15904/11783/14634/110350/13489/71877/226407/17701/20481/17356/54140/65100/19384/22418/17257/24136/17967/218772/72129/15902/209012/13175/327826/15387/18795/18187/21416/77582/18508/22174/15182/12569/233552/67749/67378/30957/239719/67760/19876/16565/14682/75717/30928/14360/57752/16975/232906/13649/13869/81907/20689/20460/57810/19823/328365/12367/58208/237847/19280",150
"GO:0001764","GO:0001764","neuron migration","87/3842","216/28928",0.402777777777778,3.03267973856209,11.7348834402185,4.04062322527753e-23,1.29380755673387e-19,7.01154461775791e-20,"11878/14587/211323/20745/14028/545474/19649/80883/319974/16869/107934/20349/18952/17181/14083/20315/399558/67703/12550/18186/22326/11491/11819/11921/83431/13865/13131/16177/20669/12387/171171/22160/22367/246179/100038725/71175/12316/268882/18007/320772/73191/140570/19353/18227/269473/13797/53883/76089/16795/18844/13488/22253/270120/19091/77579/102774/59009/13489/215690/319387/17762/14365/330914/11308/72129/209012/13175/239393/11787/17295/22241/18187/20358/18508/22174/12569/30957/239719/56876/14462/75717/14360/16800/18634/382253/19823/328365",87
"GO:0007264","GO:0007264","small GTPase-mediated signal transduction","138/3842","444/28928",0.310810810810811,2.34022257551669,11.137368640051,8.8838445321331e-23,1.89640467945935e-19,1.02772054113835e-19,"211323/74002/232227/56044/22630/11350/18032/319974/76484/544817/233877/71966/19395/18053/319899/110596/100310872/245666/19419/17925/236915/210293/68813/236920/260409/227801/22325/21844/18186/381293/20401/19731/20430/215632/74194/99326/12428/67790/19328/110351/13131/229541/99371/244867/50884/50768/66863/12549/19053/20662/56784/71704/74055/14062/228357/11853/21808/53322/268480/12558/105445/19353/214804/19645/235041/244418/109689/76089/12554/66922/16412/114713/54366/329877/56297/98710/71544/432879/14235/57874/19877/24063/13169/26431/226407/56486/212307/11554/233103/16706/110279/21927/18129/108100/75687/330914/11352/227377/228359/99167/15461/29815/14784/19769/68760/17295/108058/75547/239027/22241/14569/228355/217692/319939/19765/213498/12977/19876/74769/67657/75415/232906/19414/16800/14811/170731/216344/70497/22324/56350/57810/24001/20620/108686/74206/68339/57295/227743",138
"GO:0050807","GO:0050807","regulation of synapse organization","126/3842","390/28928",0.323076923076923,2.43257918552036,11.1468932648131,1.55524936273447e-22,2.48995422973788e-19,1.34938346024619e-19,"108030/12933/211323/232227/14810/12064/18013/57138/11838/11350/50791/70178/53328/23829/18429/245666/72832/210293/13841/14083/68942/105689/77097/13138/399558/97387/112405/21844/320150/30785/16798/20430/94245/20474/56376/15898/13131/76742/12387/29819/68404/171171/66713/76936/22215/22416/13636/18189/192167/66860/58998/20471/228357/210274/59036/20616/64451/19249/14362/12558/320772/27205/19353/17755/76089/70237/237868/228550/12361/241638/16412/217333/16979/229791/74006/319504/14739/77579/58235/19877/13169/13489/226359/378937/241263/17356/319387/320840/22192/20614/22418/108100/17257/16573/13175/268747/20450/239027/107932/16423/15387/18187/12569/52398/217692/73178/230775/19876/18391/13838/14360/19277/16975/27801/11651/227580/80913/170731/74117/382253/22782/272381/11843/26556/22359/19280",126
"GO:0060562","GO:0060562","epithelial tube morphogenesis","128/3842","404/28928",0.316831683168317,2.38555620267909,10.9754992556307,4.93957418845285e-22,6.32660662057041e-19,3.42858444196401e-19,"18095/64058/12162/26409/18479/18505/99683/56044/14573/11350/13036/22413/16814/66042/14725/18707/12156/15242/16869/18141/14463/16973/20349/192119/13841/22408/14633/20356/20315/22601/13138/16568/17128/15478/18764/18186/15251/15376/108655/19058/20474/29876/17127/239122/13642/12387/50884/269152/50768/22160/22773/22416/73916/19108/20471/230824/244058/20319/14048/67122/16372/21808/69718/269593/27205/21853/14183/140570/74533/22417/18595/329628/54710/21677/19206/17684/20496/16542/20971/56274/24063/93760/102774/170823/11783/14634/18109/105278/20481/21385/17869/65100/18643/225164/14365/22418/18129/18612/19143/74392/18132/11352/24136/17295/19411/15184/15213/234366/15402/12370/270685/12977/19876/14462/13838/216021/16911/232906/21815/75605/216527/105782/58231/18018/12043/20460/22411/12367",128
"GO:0050803","GO:0050803","regulation of synapse structure or activity","126/3842","398/28928",0.316582914572864,2.3836831214898,10.8778223684329,1.12176345182325e-21,1.19729552424601e-18,6.48851596607236e-19,"108030/12933/211323/232227/14810/12064/18013/57138/11838/11350/50791/70178/53328/23829/18429/245666/72832/210293/13841/14083/68942/105689/77097/13138/399558/97387/112405/21844/320150/30785/16798/20430/94245/20474/56376/15898/13131/76742/12387/29819/68404/171171/66713/76936/22215/22416/13636/18189/192167/66860/58998/20471/228357/210274/59036/20616/64451/19249/14362/12558/320772/27205/19353/17755/76089/70237/237868/228550/12361/241638/16412/217333/16979/229791/74006/319504/14739/77579/58235/19877/13169/13489/226359/378937/241263/17356/319387/320840/22192/20614/22418/108100/17257/16573/13175/268747/20450/239027/107932/16423/15387/18187/12569/52398/217692/73178/230775/19876/18391/13838/14360/19277/16975/27801/11651/227580/80913/170731/74117/382253/22782/272381/11843/26556/22359/19280",126
"GO:0016358","GO:0016358","dendrite development","111/3842","331/28928",0.335347432024169,2.52496889994669,10.9201703972511,1.94443083457214e-21,1.77887643779999e-18,9.6402834008787e-19,"232227/14810/12162/12064/18479/60597/57138/11838/11350/17344/76484/12286/18053/100310872/17181/210293/77097/12914/21844/110197/74053/18186/242443/83766/18163/20430/11840/94245/56376/216049/13131/68703/29819/66713/14763/22215/13636/192167/13508/228357/224105/17756/59036/64451/11423/245886/18174/19353/98733/50932/53883/17755/76089/17760/13047/70237/237868/228550/12361/241638/93686/16412/21907/14056/270120/74006/19091/22629/102774/13169/382056/17356/15901/22418/108100/17257/11352/68166/11308/209012/18209/13175/17295/15387/20393/52463/15182/12569/67749/217692/73178/19876/56876/235072/13838/14360/71900/16975/665113/67886/170731/216344/74117/382253/22782/15529/11843/232784/20620/22359/19280",111
"GO:0090596","GO:0090596","sensory organ morphogenesis","113/3842","341/28928",0.331378299120235,2.49508366396412,10.8685864448555,2.48458625778449e-21,1.98891129935649e-18,1.07785274893625e-18,"17268/19213/12162/12064/99683/12831/574519/24113/330166/241226/14180/13395/16869/18423/16973/20510/22408/14633/67231/20378/73750/109934/109205/231070/64379/69743/15251/11921/20474/18742/19274/244152/380614/20473/72747/387178/12387/29819/237979/12368/236266/22160/22773/22416/110253/58998/20471/13508/107587/232174/230824/14367/71175/14048/218756/97031/101401/14183/19353/14107/67269/16795/26413/22295/19126/241688/56297/270120/17684/16542/58235/18994/320398/100121/93760/102774/15312/14634/225998/17701/20481/21834/14119/19712/21385/17869/110279/12020/14365/22418/18129/16449/218772/29815/14685/327826/19411/114889/18508/15182/11911/54352/67671/26941/14118/20666/14462/216021/22632/105782/170731/12043/57810",113
"GO:0001654","GO:0001654","eye development","140/3842","473/28928",0.295983086680761,2.22857853500808,10.5431131586892,6.67783650652221e-21,4.75165166530758e-18,2.57506748093611e-18,"20476/17268/19213/12162/12064/68911/12831/574519/24113/330166/18032/26386/69675/14180/16869/12577/16973/20510/67231/17537/12167/18186/22326/64379/69743/15251/94245/18742/29876/17127/19274/244152/16600/20473/387178/195727/69453/12387/21812/29819/381694/16324/17300/237979/12368/236266/22160/228839/20662/58998/18012/13508/26889/107587/230824/14367/71175/218756/21808/11423/242022/101401/14183/14107/67269/16795/19126/20133/241688/18595/21821/21907/56297/270120/114716/67171/17684/16542/77579/234740/58235/66993/24063/100121/93760/102774/15312/14634/13489/226407/225998/105278/20481/21834/14119/21385/18129/16449/17536/24136/218772/11481/231051/12366/29815/14685/327826/21916/19411/72341/114889/18508/15182/17245/11911/54352/72759/17187/14118/20666/14462/19672/192236/232906/13649/21815/75605/22632/105782/170731/26401/107817/100126824/12043/57810/14571/12288/58208/74206/77593",140
"GO:0060485","GO:0060485","mesenchyme development","109/3842","328/28928",0.332317073170732,2.50215208034433,10.7073618074108,9.87022851825503e-21,6.32089434309052e-18,3.42548878154598e-18,"12162/18505/14573/13867/22413/12156/14180/18570/14463/20349/192119/21814/13132/56177/14083/20356/20378/52662/22601/13138/214968/17128/76566/21844/18764/18186/15251/15376/19058/16401/242509/20474/17127/12667/12387/21812/50884/17300/231858/22160/22773/22416/13636/76707/20471/80288/20319/12006/21808/22422/12558/21849/14183/22417/26413/15214/13837/21677/67040/50758/13731/14056/114716/17684/19877/24063/17701/246154/21385/17869/65100/15384/384009/68010/22418/97064/18132/16449/20017/666794/24136/17967/240756/208177/20846/11490/18187/20358/21416/83395/18508/171463/15182/15213/20360/15402/102693/19876/353310/14462/13838/20352/71890/13869/71878/18018/226352/12043/22411",109
