"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006417","GO:0006417","regulation of translation","66/1340","381/28928",0.173228346456693,3.73966388529792,11.8637919882825,1.48038478494359e-20,8.06069515401783e-17,5.76882576195911e-17,"56403/239528/234594/207214/12227/14694/56040/73826/20102/18458/100037258/52874/210529/268420/13685/19653/15473/13665/213988/106338/67579/12696/18148/69956/234384/16341/234734/24127/17690/72068/276770/72416/27050/229663/66118/75420/83485/21357/20677/22695/19045/225363/17855/67031/328572/12567/22171/13684/16201/212114/13629/20918/22121/74112/13631/15469/23879/226982/53817/12192/21453/110954/68966/16210/217331/22057",66
"GO:0002181","GO:0002181","cytoplasmic translation","39/1340","171/28928",0.228070175438596,4.9235925634983,11.341073303642,7.86249875078835e-17,2.14056528490213e-13,1.53194580923255e-13,"56403/68052/66244/56040/270106/20102/18458/20104/13685/19653/69082/67945/20103/14904/108067/67579/19899/16341/234734/19942/27050/229663/27367/19944/26905/225363/66475/19934/20085/13629/22121/13681/20088/268449/16210/217331/19951/22186/20090",39
"GO:0008380","GO:0008380","RNA splicing","64/1340","464/28928",0.137931034482759,2.97766340710242,9.4647117300325,6.12503654394462e-15,1.11169413272595e-11,7.95610010023964e-12,"56403/68052/65105/56194/170791/54614/66078/382073/107686/107701/67736/74044/67332/20637/18458/56361/664883/210529/68693/81898/20020/56215/22185/19653/103284/66185/59013/20926/12696/18148/66464/216825/192196/74200/51796/16549/67367/110213/19153/227707/76167/56790/208768/229700/67207/276905/209416/67031/15388/116748/22668/233208/16201/67039/20918/20624/15469/70312/16969/53817/50783/13207/75956/15381",64
"GO:0006401","GO:0006401","RNA catabolic process","48/1340","312/28928",0.153846153846154,3.32123995407578,9.0852495107472,2.67971232703419e-13,3.48363884158686e-10,2.49314793708464e-10,"56403/239528/19819/234594/12227/18458/210529/268420/22352/15473/17164/14904/213988/214597/12696/18148/16341/108767/24127/52477/72068/72416/229663/330474/28114/16549/75420/326622/50911/22695/59004/67207/225363/21754/75553/75901/27998/67031/68544/193740/103135/23879/12192/50783/13207/15381/214855/22057",48
"GO:0044772","GO:0044772","mitotic cell cycle phase transition","60/1340","455/28928",0.131868131868132,2.84677710349352,8.75079588848472,3.19893373883091e-13,3.48363884158686e-10,2.49314793708464e-10,"77035/72993/12580/19252/18028/319944/227292/12566/18763/75826/225131/270201/223843/24100/20104/224023/12576/76454/18761/13685/15512/12453/53869/69917/69681/20586/66993/246735/67052/26427/74268/68964/12315/77045/52696/59008/216825/17193/22059/208768/22680/76464/11461/233805/56371/12447/18392/21335/12567/116748/75430/13684/56456/12530/11789/231803/12192/21423/19054/12189",60
"GO:0072594","GO:0072594","establishment of protein localization to organelle","60/1340","459/28928",0.130718954248366,2.8219685884304,8.67171727645694,4.69063138075334e-13,4.25674797803366e-10,3.04644164413138e-10,"72993/15502/107305/19386/18021/74718/26416/21454/15587/56208/11781/11426/18761/320938/170770/30056/53869/69917/12465/56794/83946/26356/100504663/16480/74043/18633/21855/214585/15510/11776/22284/18128/53333/12177/16648/216853/22059/622675/20660/19302/100494/218544/328572/75387/22378/235442/67890/57743/20848/15525/606496/11632/18709/13207/12631/13198/12189/52551/30055/24067",60
"GO:0141188","GO:0141188","nucleic acid catabolic process","50/1340","341/28928",0.146627565982405,3.16540464831269,8.86494308539236,5.6042537022727e-13,4.35930877269641e-10,3.11984168508474e-10,"56403/13423/239528/19819/234594/12227/18458/210529/268420/22352/15473/17164/14904/213988/214597/66454/12696/18148/16341/108767/24127/52477/72068/72416/229663/330474/28114/16549/75420/326622/50911/22695/59004/67207/225363/21754/75553/75901/27998/67031/68544/193740/103135/23879/12192/50783/13207/15381/214855/22057",50
"GO:1901987","GO:1901987","regulation of cell cycle phase transition","60/1340","475/28928",0.126315789473684,2.72691280439906,8.36367543151015,2.05971377294591e-12,1.40189268671131e-09,1.00329741940076e-09,"72993/12580/19252/26416/227292/12566/18763/235323/75826/225131/270201/24100/20104/224023/12576/76454/28135/18761/15512/53869/69917/69681/20586/66993/12696/246735/18148/67052/26427/74268/68964/241627/77045/52696/59008/17193/28114/20674/22059/208768/22680/76464/11461/15270/233805/56371/12447/18392/12567/116748/75430/56456/12530/11789/231803/12192/21423/52040/19054/12189",60
"GO:1903311","GO:1903311","regulation of mRNA metabolic process","47/1340","320/28928",0.146875,3.17074626865672,8.6056621499955,2.61354025446706e-12,1.58119185395257e-09,1.13161707860082e-09,"56403/239528/234594/170791/12227/224902/20637/18458/664883/210529/268420/56215/22185/19653/22352/15473/17164/14904/213988/20926/12696/18148/52477/72068/229663/51796/16549/75420/22695/59004/229700/67207/75553/75901/67031/15388/22668/67039/20918/103135/16969/23879/12192/13207/15381/214855/22057",47
"GO:0006402","GO:0006402","mRNA catabolic process","42/1340","265/28928",0.158490566037736,3.42150380174599,8.72752815800895,3.0383987030421e-12,1.65440809380642e-09,1.18401599985914e-09,"56403/239528/234594/12227/18458/210529/268420/22352/15473/17164/14904/213988/12696/18148/16341/108767/24127/52477/72068/229663/16549/75420/326622/50911/22695/59004/67207/225363/21754/75553/75901/27998/67031/193740/103135/23879/12192/50783/13207/15381/214855/22057",42
"GO:0140694","GO:0140694","non-membrane-bounded organelle assembly","56/1340","435/28928",0.128735632183908,2.77915251329559,8.24010424981765,5.25409788646093e-12,2.60077845379816e-09,1.86130816992137e-09,"239528/234594/12566/66700/71909/56208/231123/14086/20104/28135/66296/268420/20103/53869/27041/13665/213582/12696/16581/18148/230376/67052/234384/20807/22388/66164/54141/100502766/72068/22350/27050/229663/26370/223499/225523/83485/100019/101706/20935/22680/233871/66475/16580/328572/19084/20085/30946/66140/193740/17929/103135/320951/226982/20779/50783/11465",56
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","49/1340","354/28928",0.138418079096045,2.98817775529134,8.29497935610662,8.21133600573349e-12,3.72589371260157e-09,2.66652332396714e-09,"72993/12580/19252/227292/12566/18763/75826/225131/270201/24100/224023/12576/76454/18761/15512/53869/69917/69681/20586/66993/246735/67052/26427/74268/68964/77045/52696/59008/17193/22059/208768/22680/76464/11461/233805/56371/12447/18392/12567/116748/75430/56456/12530/11789/231803/12192/21423/19054/12189",49
"GO:0040029","GO:0040029","epigenetic regulation of gene expression","45/1340","319/28928",0.141065830721003,3.04533757544566,8.09567356111649,3.05874290655353e-11,1.28114270201415e-08,9.16879857494832e-09,"218214/12566/12005/319170/319165/18706/319166/75339/224826/12053/20586/51788/14815/50518/54343/56637/70252/64707/56632/13831/223499/30951/56381/319172/22059/12417/229700/15270/319164/238247/19820/328572/75387/83456/22378/23808/78878/217127/15081/214899/606496/17192/13653/12189/12419",45
"GO:0031400","GO:0031400","negative regulation of protein modification process","53/1340","420/28928",0.126190476190476,2.72420753375977,7.84467212941014,4.16250676686262e-11,1.61891781039764e-08,1.15861654518236e-08,"19016/15502/12580/19252/24064/11816/227292/14694/75826/12702/15587/100037258/12576/19246/50873/28135/18569/52840/23790/22185/83945/23991/21770/18213/13844/100504663/18148/13167/101490/56637/21838/108900/27050/72349/75296/20677/11461/18115/233805/21754/56468/12328/18605/14154/19084/215653/15353/22210/71059/70312/15525/11789/16210",53
"GO:1901293","GO:1901293","nucleoside phosphate biosynthetic process","44/1340","312/28928",0.141025641025641,3.04446995790279,8.0019817219497,5.10856467794867e-11,1.85440897809537e-08,1.32715132896603e-08,"665563/14923/68801/107652/231327/66945/226646/12764/104130/18103/50873/11951/68556/12041/212627/269614/73095/66454/11534/14450/70456/78830/12048/67680/75406/56632/68342/66592/67942/192185/13382/21915/68198/29858/27425/24060/22247/22171/66043/20848/11964/68738/11564/11674",44
"GO:0000956","GO:0000956","nuclear-transcribed mRNA catabolic process","26/1340","124/28928",0.209677419354839,4.52652864708715,8.67312979785813,8.04140223676337e-11,2.73658969869853e-08,1.95850467634855e-08,"56403/239528/234594/12227/18458/213988/16341/108767/24127/72068/229663/75420/326622/50911/22695/67207/225363/21754/75901/27998/67031/103135/12192/50783/13207/22057",26
"GO:0001558","GO:0001558","regulation of cell growth","55/1340","456/28928",0.120614035087719,2.6038229903116,7.60805873633419,1.02261484194922e-10,3.16367780655364e-08,2.26416030928647e-08,"19016/12580/12540/109270/11816/14694/71955/15587/224023/12576/11426/50873/66262/170770/23991/12053/20586/67778/20187/78757/668303/18213/52808/18208/12696/14815/18148/56637/20807/56632/56716/170742/50911/75296/110196/23988/22059/233805/18472/229285/229227/18605/328572/231841/14566/217127/193740/629378/606496/15193/53817/12631/20869/12189/240514",55
"GO:0007178","GO:0007178","cell surface receptor protein serine/threonine kinase signaling pathway","51/1340","405/28928",0.125925925925926,2.71849640685462,7.67578015395324,1.04584390299294e-10,3.16367780655364e-08,2.26416030928647e-08,"19016/72993/24064/21416/26416/13001/242083/56424/56440/56208/12005/387216/18569/50766/15208/67326/15205/328365/26356/19646/21807/110521/107321/14561/20340/432442/218952/22284/18128/14281/101706/23988/22059/20660/238247/66513/229285/75901/328572/68526/20848/15469/18099/16969/387244/20779/13207/13653/12912/20869/22057",51
