gene_id,gene_name,expression_status,log2FoldChange,padj,promoter_methylation,promoter_cpg_count,gene_body_methylation,gene_body_cpg_count,mecp2_bound,binding_type,exo_signal,endo_signal,promoter_cpg_density,promoter_cpg_class,unexpected_pattern
ENSMUSG00000103922,Gm6123,downregulated,-0.795749128,0.024274903,100.0,0,99.99999998394918,0,False,,,,0.0,,False
ENSMUSG00000025903,Lypla1,downregulated,-0.605671729,3.66454e-14,99.98304444364413,0,100.0,0,True,both,235.09242695798727,37.104364074202586,0.0,,False
ENSMUSG00000033813,Tcea1,downregulated,-0.536336219,1.02495e-17,65.61773735311759,0,100.0,0,True,both,528.419490549465,348.1378596635868,0.0,,False
ENSMUSG00000085623,Gm16041,unchanged,0.203989462,0.141760084,66.66666666575973,0,99.99999646116733,0,False,,,,0.0,,False
ENSMUSG00000033793,Atp6v1h,unchanged,-0.417803387,2.30757e-08,83.33333333333333,0,100.0,0,True,both,48.58155454772463,39.023866029062056,0.0,,False
ENSMUSG00000025907,Rb1cc1,unchanged,-0.128498676,0.104373475,83.33333333333333,0,100.0,0,True,both,216.6621068586924,19.48817954014497,0.0,,False
ENSMUSG00000051285,Pcmtd1,unchanged,-0.447877158,8.74956e-10,99.88761901702306,0,100.0,0,True,both,1332.1939870409735,985.0725027101456,0.0,,False
ENSMUSG00000103509,Gm38372,unchanged,-0.297844856,0.031265815,99.99999874854613,0,83.33333333333333,0,False,,,,0.0,,False
ENSMUSG00000061024,Rrs1,unchanged,0.096831676,0.394682568,0.011249080334278322,0,99.93336161578549,0,True,both,339.29806141212526,245.3673994761368,0.0,,False
ENSMUSG00000025911,Adhfe1,upregulated,0.697750412,9.06648e-07,99.99999992331355,0,100.0,0,True,both,339.29806141212526,245.3673994761368,0.0,,True
ENSMUSG00000025915,Sgk3,downregulated,-0.575078295,1.11827e-10,93.26274810363122,0,100.0,0,True,both,17.13124580443841,30.231606398213017,0.0,,False
ENSMUSG00000046101,Mcmdc2,unchanged,-0.421002415,0.018023957,99.99610943247713,0,100.0,0,True,both,105.4073106899186,104.99260814717228,0.0,,False
ENSMUSG00000056763,Cspp1,unchanged,0.101899573,0.316655183,99.93663997946707,0,100.0,0,True,both,193.5189690228836,169.2261153914792,0.0,,False
ENSMUSG00000025925,Terf1,downregulated,-0.736642816,2.35422e-13,99.99971128817431,0,100.0,0,True,both,429.0697314091672,127.30744317668236,0.0,,False
ENSMUSG00000104379,Gm37509,downregulated,-0.881392015,0.00926721,66.66666666666667,0,100.0,0,False,,,,0.0,,False
ENSMUSG00000025921,Rdh10,upregulated,0.625879982,3.01578e-05,72.87439468833414,0,99.99999999683507,0,True,both,658.1631078727017,271.18437789696856,0.0,,True
ENSMUSG00000025940,Tmem70,downregulated,-0.614828207,1.18155e-12,100.0,0,100.0,0,True,both,57.21905063997491,38.17763658000667,0.0,,False
ENSMUSG00000025779,Ly96,unchanged,0.337990508,0.114823582,99.99968528914582,0,100.0,0,False,,,,0.0,,False
ENSMUSG00000025931,Paqr8,unchanged,0.341684178,0.000311019,82.41681978976419,0,100.0,0,True,both,346.9932123881579,195.05942707963948,0.0,,False
ENSMUSG00000025933,Tmem14a,unchanged,-0.027572188,0.929436346,99.99990730528377,0,99.9999999997383,0,False,,,,0.0,,False
ENSMUSG00000097109,Gm26580,unchanged,0.204600001,0.437125465,100.0,0,59.72486883733592,0,True,both,119.91867977528734,15.217700643313044,0.0,,False
ENSMUSG00000097970,Gm27028,upregulated,0.724825254,0.009370804,83.33333333333333,0,0.0,0,False,,,,0.0,,True
ENSMUSG00000026156,B3gat2,unchanged,-0.260818388,0.309410874,99.79093992925937,0,100.0,0,True,both,164.83264942325843,31.39053350418602,0.0,,False
ENSMUSG00000026147,Col9a1,downregulated,-3.204748942,3.79126e-22,100.0,0,100.0,0,False,,,,0.0,,False
ENSMUSG00000073725,Lmbrd1,unchanged,0.413324413,9.6953e-10,49.99978193879762,0,100.0,0,True,both,204.1153636753903,126.94693238692632,0.0,,False
ENSMUSG00000104516,Gm9884,unchanged,-0.090697481,0.86802984,85.80790348761037,0,66.6665332492123,0,True,both,339.8251577224873,110.14437860870189,0.0,,False
ENSMUSG00000004768,Rab23,unchanged,0.096300656,0.371215042,99.99894401305626,0,100.0,0,True,both,91.53392272755666,45.98908078060776,0.0,,False
ENSMUSG00000026131,Dst,upregulated,0.640715604,6.50788e-16,57.28014022977768,0,100.0,0,True,both,396.9433494171753,290.9102306569007,0.0,,False
ENSMUSG00000103596,Gm37354,unchanged,0.057513226,0.906935608,100.0,0,100.0,0,False,,,,0.0,,False
ENSMUSG00000103364,Gm38157,unchanged,0.352810358,0.270517184,99.99999999994917,0,99.90701782425539,0,False,,,,0.0,,False
ENSMUSG00000026127,Imp4,unchanged,0.290265781,0.001726692,99.90984112487523,0,99.9999999999951,0,True,both,1527.688916658095,1176.0336912181344,0.0,,False
ENSMUSG00000037509,Arhgef4,upregulated,0.53277719,1.34909e-15,99.98412740429046,0,99.99999999999982,0,True,both,46.41397365996295,34.449223780856414,0.0,,True
ENSMUSG00000102612,Gm37845,upregulated,0.792680541,0.011910228,99.99160582485013,0,0.0,0,True,endo_only,0.0,34.449223780856414,0.0,,True
ENSMUSG00000104358,Gm37127,unchanged,-0.028649552,0.917080596,99.99989914666988,0,66.66666666666667,0,False,,,,0.0,,False
ENSMUSG00000026123,Plekhb2,unchanged,0.455572205,6.96191e-07,99.99922799230637,0,100.0,0,True,both,131.37352890583523,66.562790925516,0.0,,False
ENSMUSG00000045216,Hs6st1,unchanged,0.399799459,6.89422e-05,64.63275329253406,0,66.66999865322572,0,True,both,124.82338329029125,102.05302369278814,0.0,,False
ENSMUSG00000037447,Arid5a,unchanged,0.427908623,0.000480823,99.78483219549896,0,66.90684905341992,0,True,both,227.2160033530305,1349.05632912644,0.0,,False
ENSMUSG00000037432,Fer1l5,unchanged,-0.019549074,0.963653861,66.66666666666666,0,66.69009509953831,0,True,both,39.99343349716688,31.895568050534404,0.0,,False
ENSMUSG00000037408,Cnnm4,unchanged,0.124621293,0.667013837,82.87657938416692,0,73.19902375303874,0,True,both,475.1849944906157,315.26489487394934,0.0,,False
ENSMUSG00000001138,Cnnm3,upregulated,1.507605142,6.81645e-77,99.96776934286349,0,100.0,0,True,both,475.1849944906157,315.26489487394934,0.0,,True
ENSMUSG00000061518,Cox5b,unchanged,-0.268383475,0.003301283,66.62163030585755,0,99.99999999999967,0,True,both,147.12152122552686,95.8709957828454,0.0,,False
ENSMUSG00000026113,Inpp4a,unchanged,-0.215743428,0.04842461,81.28287760151316,0,66.66666850294835,0,True,both,124.8737403677902,91.08142665687554,0.0,,False
ENSMUSG00000026111,Unc50,unchanged,-0.498539291,1.01559e-07,65.29170306077889,0,99.99999999998589,0,True,both,295.95579128265126,260.84954234856326,0.0,,False
ENSMUSG00000037216,Lipt1,unchanged,-0.277023312,0.405431042,66.6665830597276,0,100.0,0,True,both,714.0228569758686,688.1852387722366,0.0,,False
ENSMUSG00000026087,Mrpl30,downregulated,-0.95424876,7.25478e-32,99.99439234672401,0,100.0,0,True,both,238.36362114688623,85.95030859730998,0.0,,False
ENSMUSG00000026083,Eif5b,unchanged,-0.015824599,0.894829051,89.26590305261358,0,100.0,0,True,both,589.381704773988,1329.2539604062947,0.0,,False
ENSMUSG00000026078,Pdcl3,downregulated,-0.716935729,1.12351e-12,99.99999999999928,0,100.0,0,True,both,194.3129116140348,188.8842400131323,0.0,,False
ENSMUSG00000073702,Rpl31,downregulated,-0.85162376,1.31805e-37,64.93578490110174,0,99.99999999996885,0,True,both,478.1429953127702,413.19771626548726,0.0,,False
