external_gene_name,cds_length
Obscn,26661
Hmcn1,16905
Mdn1,16770
Ryr1,15186
Ryr2,14901
Ryr3,14667
Lrp2,13983
Fat1,13938
Lrp1,13638
Dnah11,13467
Hectd4,13257
Dnah7c,12075
Bsn,11829
Ank2,11781
Lama5,11157
Csmd2,10836
Csmd1,10695
Lama3,9993
Speg,9789
Trio,9312
Bptf,9111
Celsr1,9105
Ank3,8612
Lrba,8565
Tenm4,8502
Tenm2,8298
Cep192,7545
Ncor2,7524
Ttc28,7446
Son,7434
Bdp1,7416
Ncor1,7365
Cacna1h,7149
Sptbn1,7092
Apc2,6912
Ptprb,6858
Cacna1c,6669
Cacna1i,6600
Shank1,6504
Frem3,6384
Pkdrej,6381
Dscaml1,6336
Dock8,6303
Myo18a,6252
Dock11,6222
Chd3,6168
Tet1,6120
Ckap5,6099
Dock3,6093
Etl4,5994
Pcdh15,5832
Dlg5,5766
Ptprd,5739
Ptprs,5724
Ptprf,5697
Tns1,5667
Kif26a,5646
Patj,5577
Myo5b,5535
Plxnb2,5529
Atad5,5481
Crybg2,5478
Bcorl1,5346
Frmpd4,5337
Col18a1,5325
2900026A02Rik,5304
Ankrd31,5298
Nwd2,5229
Ehbp1l1,5157
Ltbp1,5142
Chd1,5136
Cfap43,5049
Phrf1,5049
Kif14,5025
Ltbp4,5001
Pappa,4875
Alk,4866
Lrp6,4842
Ahdc1,4785
Thoc2l,4770
Adgrb2,4734
Megf6,4719
Kcp,4653
Dlc1,4632
Iqsec2,4599
Slit1,4596
Slit3,4572
Nrxn1,4545
Atp10a,4527
Ccdc88b,4446
Ptprk,4416
Gapvd1,4377
Bltp3b,4374
Nrk,4368
Ptprt,4368
Ptpru,4341
Cux2,4281
Espn,4218
Robo3,4209
Zfyve9,4194
Kif27,4185
Met,4140
Aatk,4125
Col15a1,4104
Pik3r4,4077
Mtus2,4062
Pnpla6,4038
Zfp804b,4032
Erbb3,4020
Pitpnm2,4008
Snapc4,4002
