Position,Signal
-20,11.468060302640634
-19,11.821362091183397
-18,12.14866899722659
-17,12.662952299168886
-16,13.29279699789731
-15,14.06927929451527
-14,15.022953439728466
-13,16.172398508318818
-12,17.675487952264277
-11,19.56511211302249
-10,22.512931023076483
-9,26.023052382876013
-8,30.740951887191766
-7,36.87877768827942
-6,45.0842655907726
-5,53.724329010246755
-4,59.73956100588105
-3,60.561569267325616
-2,57.04650253909652
-1,52.169242155208885
0,39.667257730334924
1,28.484762077457983
2,21.996120260371455
3,18.668624740665877
4,16.693416603370384
5,15.771603972905766
6,14.933655863190667
7,14.45348877487108
8,13.550886279793014
9,12.898187909461875
10,12.171212231340602
11,11.644441837460944
12,11.36948674644139
13,11.012578510229554
14,10.75885136582447
15,10.39953639455815
16,10.259605966717471
17,10.116955389078784
18,10.023897903234547
19,10.182080461333793
