Position,Signal
-20,6.205655791693724
-19,6.255496745676175
-18,6.320268644660155
-17,6.467576653841845
-16,6.478310229274266
-15,6.387074220123509
-14,6.369613759138378
-13,6.412842417910789
-12,6.539712587568633
-11,6.836026356507566
-10,7.053166194942029
-9,7.200033840825361
-8,7.412455102585062
-7,7.730072410569697
-6,8.071627609054708
-5,8.557750529796339
-4,9.254517438952874
-3,10.240790818697969
-2,12.549761537248035
-1,16.61984987767616
0,20.801432910590798
1,23.142800773295065
2,25.65903469642517
3,26.44153438305187
4,24.763527728022485
5,21.62519419049382
6,18.15242427190187
7,15.498911435790967
8,13.49381654619473
9,12.030121490309524
10,10.683286409503976
11,9.611990388125852
12,8.804653560271074
13,8.324198978914943
14,7.976633698195644
15,7.747794863981142
16,7.525110184102877
17,7.320940599590033
18,7.06828110018675
19,6.900346152079894
