Position,Signal
-20,11.18067643298657
-19,11.780844133538396
-18,12.060397037062302
-17,12.181774726239603
-16,12.17444161667198
-15,11.972677983965339
-14,11.850747679781604
-13,12.095290460086696
-12,12.342778818717939
-11,12.936325207926998
-10,13.621025797959224
-9,13.96240401444032
-8,14.317735307481286
-7,15.417318397030417
-6,16.492499162448528
-5,18.186410081476037
-4,20.53245250206118
-3,23.971913497722753
-2,31.69789913398708
-1,49.28172780627386
0,75.68113173331584
1,83.12132421203552
2,84.37889739463048
3,77.99539963408962
4,66.18408489895867
5,52.40394507240016
6,40.67165694090078
7,32.187289049928964
8,26.804079408932715
9,23.059238151914407
10,20.07283932935671
11,17.784436542012386
12,16.222705376794064
13,15.21521453078682
14,14.280736133333573
15,13.470171477407268
16,12.805274000792908
17,12.347013553340842
18,12.063051809195906
19,11.700420682540216
