Position,Signal
-20,7.037498127188753
-19,7.207779143463952
-18,7.2300073472231885
-17,7.328565690663781
-16,7.523880899440842
-15,7.957211743502219
-14,8.457943045922926
-13,9.0305001021532
-12,9.739721337676054
-11,10.588078557158934
-10,11.818791364780559
-9,13.414026624998716
-8,15.517995378223638
-7,18.271095474950634
-6,21.61125480366188
-5,24.80731295738482
-4,26.335862383092433
-3,25.5647788228504
-2,22.93828999346444
-1,20.45636844500873
0,15.953430132296884
1,12.924756091587435
2,10.529383739498453
3,9.35354948549489
4,8.644267385620353
5,8.197159323327003
6,7.773034954033239
7,7.493298850933072
8,7.233096554481961
9,7.066669333106485
10,6.808783017568068
11,6.659910672818713
12,6.725231781218972
13,6.5014262888651935
14,6.30037833114833
15,6.239798920115452
16,6.2032779719230415
17,6.1834787070313055
18,6.100754420542285
19,6.126435302236293
