Position,Signal
-20,8.845807111400111
-19,9.097999235608663
-18,9.19926201823216
-17,9.358111442432046
-16,9.56130897975325
-15,9.852578347978463
-14,10.344144213415513
-13,10.855723136643881
-12,11.663310135474108
-11,12.630694712319565
-10,13.984504835725632
-9,15.605124736630115
-8,17.802671412598023
-7,20.59451973607471
-6,24.02567236437423
-5,27.313509988317993
-4,28.96273491397648
-3,28.298242348810803
-2,26.240227858202832
-1,24.390604343740115
0,20.581597106373998
1,16.43867923708868
2,13.440854434511179
3,12.013755542835659
4,11.051703329386012
5,10.408161135187294
6,9.993999203812582
7,9.811652205988462
8,9.349184339868508
9,9.117923521428992
10,8.711834538331077
11,8.618107002611554
12,8.419406682996115
13,8.220939651339846
14,8.151074306770575
15,7.971999378276208
16,7.737124320675209
17,7.795191001735722
18,7.775196987240398
19,7.838324187506206
