gene,exo_peaks,endo_peaks,exo_signal,endo_signal,enrichment
Mir5125,2,5,0.06331833560287789,0.4244813476642325,0.06331833560287789
Trim68,10,4,1.2379275836004757,0.3557834042936239,1.2379275836004757
Frrs1,31,35,2.5288616693304533,1.9469335844759608,1.298894676990805
Notch4,25,18,2.0778811198760248,0.8243539172480903,2.0778811198760248
Ano6,155,130,14.26322967867199,7.163103410923947,1.9912081203407086
Pip4k2b,37,30,3.15208600516159,1.8312489820531122,1.7212765910333045
Armc6,18,19,2.0378403124927758,1.235023251102924,1.6500420625060337
Wtip,20,17,2.2294471170022843,0.8706533192428456,2.2294471170022843
Arl16,7,3,0.31191514029337924,0.14908222216432726,0.31191514029337924
Mecr,28,24,2.2837759219331644,1.054509747497146,2.165722912807257
Gm12158,5,5,0.27102335404002287,0.12754089982806754,0.27102335404002287
Jmjd4,10,14,1.4339371937638834,1.2731834396436414,1.126261266927283
Cndp2,17,17,1.1895599254256224,0.7253759328988706,1.1895599254256224
Plekhh1,45,37,3.6875375933227335,1.5511485545945587,2.3772949292317054
Gm37914,4,1,0.24644432358875662,0.07895860732166655,0.24644432358875662
Ptpre,110,86,8.925489891504695,4.426751226778192,2.016261911785972
Gm43858,1,1,0.04444659220836968,0.024626609311687666,0.04444659220836968
Taf1c,8,6,0.8134555520111055,0.27032242343738133,0.8134555520111055
Senp6,44,42,3.071597202620105,1.6448590802449923,1.8673923131230235
Xpa,46,32,3.6832055070729743,1.4389678639395727,2.5596162356184804
A530041M06Rik,4,3,0.5058352542330987,0.11311826334297759,0.5058352542330987
Gm29151,6,5,0.44854195306860956,0.19837849773797586,0.44854195306860956
Tcta,8,7,0.3653618314457563,0.41682138621832965,0.3653618314457563
Kpna4,35,34,2.7450952193587823,1.8853537415527895,1.4560106991369717
Gm17083,5,2,0.4194834255548972,0.06040569019960681,0.4194834255548972
Gm26743,6,7,0.6532991232277201,0.2338371584552094,0.6532991232277201
Gm44260,9,8,1.1775746510169076,0.49679553264935583,1.1775746510169076
Dnmt3l-ps1,2,4,0.12080888609272143,0.14534284618146812,0.12080888609272143
Tlk2,49,47,3.228129006967991,2.275721769255658,1.4185077677680455
Gm38077,7,0,0.4818080853602962,0.0,0.4818080853602962
Gm36944,1,0,0.03697557164860995,0.0,0.03697557164860995
Gm27042,9,10,0.7490648081529173,0.4519121121297234,0.7490648081529173
Tia1,14,14,0.9804813718204699,0.5867623033784309,0.9804813718204699
Lurap1l,25,20,1.9069488506205456,1.2113303576388696,1.574259935446164
Ccdc152,17,10,1.224686085605164,0.34865488058019267,1.224686085605164
Klc4,21,16,1.6070004542503757,1.0073623727179881,1.5952555880308394
Gm13830,18,18,1.4829257405170757,0.6904979286165319,1.4829257405170757
Rgl2,17,13,1.7439936275861372,0.7036758687034427,1.7439936275861372
Nosip,15,16,1.908084462248937,1.5228014897018851,1.2530093220636904
Phf20l1,24,23,1.9715648935846288,1.1153821524865148,1.76761380768863
Tshz1,72,54,6.622539428541484,2.750787387890164,2.4075068315697523
Rad50,37,40,2.739699522229467,1.7534555528649867,1.5624573532833768
Prr36,19,17,2.2683839076986145,0.9970394137126197,2.2683839076986145
Gpatch1,24,24,1.8341130616081318,0.933198816376198,1.8341130616081318
Aptx,17,22,1.9031670198009967,1.5886792304718407,1.1979554986916727
Dcaf12,19,18,1.8545288794011323,1.3296821188530104,1.3947159648960739
Rapgef6,79,63,5.087823217513578,3.3920231747463805,1.4999376346813997
Plpp3,115,104,12.653630917595795,7.564909721799739,1.67267441158378
Ppp2cb,32,23,2.1433616442973884,1.0082430042595254,2.125838349725538
Epc1,80,73,6.15687030561828,3.2675206325061277,1.884263635359534
Dock11,49,36,2.7001733333807683,1.2493926419726002,2.161188758977808
Wdr18,11,13,0.7878181437242693,0.8552528576045605,0.7878181437242693
Wdr59,60,42,5.211716560715196,2.096117784655458,2.4863662714315713
Tfap4,17,18,1.5473018294516885,1.0706828510825983,1.4451542096589731
Gm16973,4,5,0.2652650806615591,0.17447426251702608,0.2652650806615591
Gpld1,47,43,7.458587798147717,5.257207560435824,1.4187356524172308
Fam185a,40,41,8.01132233840718,3.7501410075930655,2.136272295411379
Gm17056,6,5,0.7792372038884521,0.432412862761116,0.7792372038884521
