gene,exo_peaks,endo_peaks,exo_signal,endo_signal,enrichment
Gm21057,17,9,10.444339426728224,6.723684537537093,1.5533654751973267
Azin2,27,19,14.693583911983428,12.710261424436373,1.1560410459956376
4631405J19Rik,15,11,9.893185539709545,7.191792899956396,1.3756215838430954
Psapl1,7,5,5.013823938541846,2.4228971338826533,2.069350724150338
Calml4,10,6,5.109118206449363,2.1837664734852353,2.339590001258395
Gm17214,2,4,0.8276513322587116,2.232059941647695,0.37080157069963976
Adamts17,138,99,66.49813324526102,47.24043623934662,1.4076528190456175
Gm15764,7,6,3.652305206788997,3.1775592405562683,1.1494058584882965
Rapgef4os1,37,26,18.966584121233243,14.04529471081354,1.3503870521585268
Gm42968,2,3,0.9704078446023321,1.0299776263520541,0.9421640041243375
Prrt1,5,5,3.3162854635219565,2.362890716287418,1.403486602517325
Ifi30,8,7,6.163139868200707,5.1514208582050385,1.196396108538527
Gm15521,1,1,0.0,0.0,0.0
Gm29480,9,7,5.772254223013393,1.827472258397767,3.1586001902289924
Arfgef3,42,36,20.311116255543773,16.326892541002955,1.2440282928631359
Arhgap24,148,109,76.90075533099595,52.74348652313978,1.4580142573103851
Gm37932,4,1,0.7688691690234936,0.19548061117752547,0.7688691690234936
Gm42446,1,0,0.36291700403354604,0.0,0.36291700403354604
Enox1,219,144,100.84701683890455,64.40464537468884,1.565834517870626
4933413C19Rik,4,2,1.500548718603103,1.7867072872610952,0.8398402633166318
Arhgef19,27,17,19.027333317689347,12.365862313990123,1.538698461502581
4430402I18Rik,36,25,21.037685925834143,12.024750223957565,1.7495320513119363
Asap3,37,33,19.721710035975036,19.574817577033794,1.0075041546805312
Dach2,67,66,25.6496915450953,24.340708626282193,1.0537775189256289
A930007I19Rik,16,17,9.253037490091824,8.730599281482283,1.0598399023670277
Gm9987,7,4,3.9213179015019373,2.3498092249132005,1.6687813886877505
Gm44256,0,5,0.0,2.3173240716363805,0.0
1700003M07Rik,6,1,3.9748070100351027,0.9197362522414824,3.9748070100351027
Unc5d,171,109,78.74260900646166,43.53415556584472,1.80875471185756
Gm28884,9,5,4.848441139785481,2.4903094200111093,1.9469231818445485
Zfpm1,28,26,14.306987615099056,16.922568544357812,0.8454383019691876
H2-T10,2,2,1.0174898418523113,1.426613216941159,0.7132205350192532
Gm12786,11,7,6.230540529819892,4.202122808531591,1.4827126225749505
Ak5,88,75,46.71541858399271,40.48738931720917,1.1538263980912278
Camkk1,18,17,10.90775110182199,9.699932616998238,1.12451823456043
