gene,exo_peaks,endo_peaks,exo_signal,endo_signal,enrichment
mt-Rnr2,3,3,2.99999243065562,2.9999852070301634,1.0000024078870253
Gm37349,2,2,1.311310223093689,0.33668699566646754,1.311310223093689
Rpl17-ps10,0,1,0.0,0.3928544777666305,0.0
Gm24514,4,5,3.695663839330083,3.445375799286702,1.0726446270665737
Rn7s2,4,3,3.3576507147751355,2.933239965968486,1.1446900880018929
Gm25395,2,3,0.8641940089456772,0.9974059530617193,0.8641940089456772
Gm10221,1,2,0.09555532424273969,0.6036935087137276,0.09555532424273969
Tpd52l1,38,26,16.057836310921026,13.3777354057871,1.2003404032026628
Tmem117,148,121,68.0522764555936,57.643580663089644,1.1805699034093635
Gm21596,1,2,0.36481307996869566,0.3440741416335701,0.36481307996869566
4732491K20Rik,10,7,5.9264566741688425,4.723181348225251,1.2547595015371844
4930578M01Rik,9,8,6.607097359785976,6.113450711504459,1.0807476287250601
Gm14303,2,1,1.6456176054931029,0.0,1.6456176054931029
Rpl23a-ps3,0,2,0.0,0.9119258851365238,0.0
4833445I07Rik,8,6,5.3604700328360355,4.111461472479712,1.3037870034090384
9530036M11Rik,6,3,3.4396825047949178,1.5849866024654746,2.170165034483213
Dhdh,19,11,10.712438031961826,6.1962981789012614,1.728844823581646
Tspo,12,5,5.397380516708987,2.8411707555698964,1.899702967914842
Rpl34-ps1,3,0,1.8148083390228305,0.0,1.8148083390228305
Rpl31-ps8,1,2,0.4401746384293684,0.16384769127316198,0.4401746384293684
Scarna2,3,4,1.6769966138282664,2.131050910751495,0.7869340921737478
Atp8b1,47,36,20.919309462651317,18.683223375866675,1.1196841702204887
Col19a1,67,65,29.00379085832689,26.391726177822168,1.098972862286656
Gm17096,4,3,1.1303075735919814,1.4281088855275268,0.7914715642809399
Smtnl2,18,8,8.914458446323309,4.56610472655427,1.95231142958266
Gm12319,3,5,2.0576517404472896,2.2516244823552243,0.9138520906003664
Gm9396,0,2,0.0,0.19508610611324376,0.0
Acat3,16,13,9.627749199398131,6.8857948109653755,1.3982044867306087
9330159M07Rik,1,0,0.41684611916163944,0.0,0.41684611916163944
Susd1,75,57,40.193167830690335,30.87445645083565,1.3018259250877424
Il13ra1,15,23,7.245685723869457,7.46529827300078,0.9705822137173566
Gm26448,4,5,2.4669879814327813,3.6943809581683715,0.6677676204394155
Gm11878,1,0,0.032628600287598945,0.0,0.032628600287598945
Lrrn4,11,2,3.984570634454138,1.279921111343561,3.1131376763302607
Hist1h2ao,0,1,0.0,0.7594959466527197,0.0
Map2k3os,10,9,6.522931237069739,6.692193679591441,0.9747074799945067
Rps3a3,1,0,0.40290705016305034,0.0,0.40290705016305034
Gm13493,1,1,0.18058977057623873,0.8076464417326435,0.18058977057623873
Loxl2,3,2,1.8600814350621648,1.2778708967320656,1.4556098271108626
